channel 9, range 143, amp 638, level 8, msec 1540981367898, tick 12690282
channel 9, range 143, amp 638, level 8, msec 1540981367904, tick 12690288
channel 8, range 140, amp 678, level 7, msec 1540981367904, tick 2399668
channel 8, range 141, amp 673, level 7, msec 1540981367909, tick 2399674
channel 8, range 145, amp 660, level 7, msec 1540981367915, tick 2399679
channel 9, range 145, amp 637, level 8, msec 1540981367911, tick 12690294
channel 8, range 140, amp 671, level 7, msec 1540981367921, tick 2399685
channel 8, range 141, amp 672, level 7, msec 1540981367926, tick 2399691
channel 9, range 144, amp 637, level 8, msec 1540981367917, tick 12690301
channel 9, range 143, amp 636, level 8, msec 1540981367923, tick 12690307
channel 8, range 144, amp 680, level 7, msec 1540981367931, tick 2399696
channel 8, range 141, amp 673, level 7, msec 1540981367937, tick 2399702
channel 9, range 144, amp 637, level 8, msec 1540981367930, tick 12690314
channel 9, range 144, amp 637, level 8, msec 1540981367936, tick 12690320
channel 8, range 143, amp 677, level 7, msec 1540981367945, tick 2399707
channel 8, range 143, amp 672, level 7, msec 1540981367948, tick 2399713
channel 9, range 145, amp 636, level 8, msec 1540981367942, tick 12690326
channel 9, range 144, amp 633, level 8, msec 1540981367948, tick 12690333
channel 8, range 146, amp 675, level 7, msec 1540981367959, tick 2399718
channel 8, range 141, amp 673, level 7, msec 1540981367959, tick 2399724
channel 9, range 144, amp 633, level 8, msec 1540981367955, tick 12690339
channel 9, range 144, amp 637, level 8, msec 1540981367961, tick 12690345
channel 9, range 144, amp 637, level 8, msec 1540981367968, tick 12690352
channel 8, range 144, amp 666, level 7, msec 1540981367970, tick 2399729
channel 8, range 141, amp 672, level 7, msec 1540981367970, tick 2399735
channel 8, range 146, amp 667, level 7, msec 1540981367977, tick 2399740
channel 9, range 145, amp 631, level 8, msec 1540981367974, tick 12690358
channel 8, range 141, amp 674, level 7, msec 1540981367981, tick 2399746
channel 8, range 140, amp 658, level 7, msec 1540981367987, tick 2399752
channel 9, range 144, amp 634, level 8, msec 1540981367980, tick 12690365
channel 9, range 143, amp 636, level 8, msec 1540981367987, tick 12690371
channel 8, range 141, amp 672, level 7, msec 1540981367994, tick 2399757
channel 8, range 141, amp 676, level 7, msec 1540981367998, tick 2399763
channel 9, range 144, amp 638, level 8, msec 1540981367993, tick 12690377
channel 9, range 144, amp 637, level 8, msec 1540981368000, tick 12690384
channel 8, range 144, amp 675, level 7, msec 1540981368003, tick 2399768
channel 8, range 141, amp 678, level 7, msec 1540981368009, tick 2399774
channel 9, range 144, amp 633, level 8, msec 1540981368006, tick 12690390
channel 8, range 143, amp 673, level 7, msec 1540981368014, tick 2399779
channel 8, range 141, amp 672, level 7, msec 1540981368020, tick 2399785
