channel 14, range 75, amp 591, level 5, msec 1540979044598, tick 10328668
channel 13, range 67, amp 569, level 5, msec 1540979044600, tick 10372120
channel 12, range 74, amp 759, level 6, msec 1540979044600, tick 10327527
channel 14, range 75, amp 594, level 5, msec 1540979044603, tick 10328673
channel 13, range 67, amp 569, level 5, msec 1540979044605, tick 10372125
channel 12, range 76, amp 772, level 6, msec 1540979044605, tick 10327533
channel 14, range 75, amp 595, level 5, msec 1540979044608, tick 10328677
channel 13, range 67, amp 570, level 5, msec 1540979044610, tick 10372130
channel 12, range 73, amp 781, level 6, msec 1540979044610, tick 10327538
channel 14, range 74, amp 594, level 5, msec 1540979044613, tick 10328682
channel 13, range 67, amp 569, level 5, msec 1540979044615, tick 10372135
channel 12, range 77, amp 741, level 6, msec 1540979044615, tick 10327543
channel 14, range 75, amp 595, level 5, msec 1540979044618, tick 10328687
channel 13, range 67, amp 569, level 5, msec 1540979044621, tick 10372140
channel 12, range 73, amp 772, level 6, msec 1540979044621, tick 10327548
channel 14, range 75, amp 593, level 5, msec 1540979044623, tick 10328692
channel 13, range 67, amp 570, level 5, msec 1540979044624, tick 10372145
channel 12, range 74, amp 761, level 6, msec 1540979044626, tick 10327553
channel 14, range 75, amp 595, level 5, msec 1540979044628, tick 10328697
channel 13, range 67, amp 568, level 5, msec 1540979044629, tick 10372150
channel 12, range 71, amp 769, level 6, msec 1540979044631, tick 10327558
channel 14, range 76, amp 595, level 5, msec 1540979044633, tick 10328702
channel 13, range 67, amp 570, level 5, msec 1540979044634, tick 10372155
channel 12, range 74, amp 774, level 6, msec 1540979044636, tick 10327563
channel 14, range 75, amp 591, level 5, msec 1540979044638, tick 10328707
channel 13, range 66, amp 569, level 5, msec 1540979044639, tick 10372160
channel 12, range 76, amp 720, level 6, msec 1540979044641, tick 10327568
channel 14, range 75, amp 594, level 5, msec 1540979044642, tick 10328712
channel 13, range 67, amp 569, level 5, msec 1540979044644, tick 10372165
channel 12, range 73, amp 773, level 6, msec 1540979044646, tick 10327574
channel 14, range 75, amp 594, level 5, msec 1540979044647, tick 10328717
channel 13, range 67, amp 569, level 5, msec 1540979044649, tick 10372170
channel 14, range 74, amp 595, level 5, msec 1540979044654, tick 10328722
channel 13, range 67, amp 570, level 5, msec 1540979044654, tick 10372175
channel 12, range 74, amp 773, level 6, msec 1540979044654, tick 10327579
channel 12, range 77, amp 756, level 6, msec 1540979044656, tick 10327584
channel 14, range 74, amp 595, level 5, msec 1540979044657, tick 10328727
channel 13, range 67, amp 569, level 5, msec 1540979044659, tick 10372180
channel 12, range 74, amp 773, level 6, msec 1540979044662, tick 10327589
channel 14, range 75, amp 594, level 5, msec 1540979044662, tick 10328732
channel 13, range 67, amp 570, level 5, msec 1540979044664, tick 10372184
channel 12, range 74, amp 773, level 6, msec 1540979044667, tick 10327594
channel 14, range 75, amp 593, level 5, msec 1540979044667, tick 10328737
channel 13, range 67, amp 569, level 5, msec 1540979044668, tick 10372189
channel 14, range 76, amp 594, level 5, msec 1540979044672, tick 10328742
channel 12, range 73, amp 794, level 6, msec 1540979044672, tick 10327599
channel 13, range 67, amp 569, level 5, msec 1540979044674, tick 10372194
channel 12, range 76, amp 773, level 6, msec 1540979044677, tick 10327604
channel 14, range 75, amp 596, level 5, msec 1540979044677, tick 10328747
channel 13, range 67, amp 569, level 5, msec 1540979044678, tick 10372199
channel 14, range 75, amp 595, level 5, msec 1540979044682, tick 10328751
channel 12, range 72, amp 788, level 6, msec 1540979044682, tick 10327609
channel 13, range 67, amp 570, level 5, msec 1540979044683, tick 10372204
channel 14, range 75, amp 594, level 5, msec 1540979044687, tick 10328756
channel 12, range 74, amp 766, level 6, msec 1540979044687, tick 10327615
channel 13, range 67, amp 569, level 5, msec 1540979044688, tick 10372209
channel 14, range 74, amp 595, level 5, msec 1540979044692, tick 10328761
channel 12, range 74, amp 772, level 6, msec 1540979044692, tick 10327620
channel 13, range 67, amp 569, level 5, msec 1540979044693, tick 10372214
channel 14, range 75, amp 594, level 5, msec 1540979044699, tick 10328766
channel 13, range 67, amp 569, level 5, msec 1540979044699, tick 10372219
channel 12, range 71, amp 751, level 6, msec 1540979044699, tick 10327625
channel 14, range 75, amp 591, level 5, msec 1540979044702, tick 10328771
channel 12, range 74, amp 773, level 6, msec 1540979044702, tick 10327630
channel 13, range 67, amp 570, level 5, msec 1540979044703, tick 10372224
channel 14, range 75, amp 594, level 5, msec 1540979044707, tick 10328776
channel 13, range 67, amp 569, level 5, msec 1540979044708, tick 10372229
channel 12, range 74, amp 773, level 6, msec 1540979044708, tick 10327635
channel 14, range 75, amp 590, level 5, msec 1540979044711, tick 10328781
channel 13, range 67, amp 569, level 5, msec 1540979044713, tick 10372234
channel 12, range 72, amp 732, level 6, msec 1540979044713, tick 10327640
channel 14, range 75, amp 592, level 5, msec 1540979044716, tick 10328786
channel 13, range 67, amp 569, level 5, msec 1540979044718, tick 10372239
channel 12, range 74, amp 773, level 6, msec 1540979044718, tick 10327645
channel 14, range 75, amp 594, level 5, msec 1540979044721, tick 10328791
channel 13, range 67, amp 570, level 5, msec 1540979044722, tick 10372244
channel 12, range 74, amp 772, level 6, msec 1540979044723, tick 10327650
channel 14, range 75, amp 594, level 5, msec 1540979044726, tick 10328796
channel 13, range 67, amp 569, level 5, msec 1540979044728, tick 10372249
channel 12, range 74, amp 744, level 6, msec 1540979044728, tick 10327655
channel 14, range 75, amp 594, level 5, msec 1540979044731, tick 10328801
channel 13, range 67, amp 569, level 5, msec 1540979044732, tick 10372253
channel 12, range 74, amp 774, level 6, msec 1540979044733, tick 10327661
channel 14, range 75, amp 593, level 5, msec 1540979044736, tick 10328806
channel 13, range 67, amp 569, level 5, msec 1540979044737, tick 10372258
channel 12, range 74, amp 773, level 6, msec 1540979044738, tick 10327666
channel 14, range 75, amp 591, level 5, msec 1540979044741, tick 10328811
channel 13, range 67, amp 569, level 5, msec 1540979044742, tick 10372263
channel 12, range 78, amp 776, level 6, msec 1540979044743, tick 10327671
channel 14, range 75, amp 594, level 5, msec 1540979044784, tick 10328816
channel 14, range 76, amp 592, level 5, msec 1540979044784, tick 10328821
channel 14, range 75, amp 593, level 5, msec 1540979044784, tick 10328825
channel 14, range 75, amp 594, level 5, msec 1540979044784, tick 10328830
channel 13, range 67, amp 570, level 5, msec 1540979044784, tick 10372268
channel 13, range 67, amp 568, level 5, msec 1540979044784, tick 10372273
channel 13, range 67, amp 569, level 5, msec 1540979044784, tick 10372278
channel 13, range 67, amp 569, level 5, msec 1540979044784, tick 10372283
channel 12, range 74, amp 773, level 6, msec 1540979044784, tick 10327676
channel 12, range 74, amp 771, level 6, msec 1540979044784, tick 10327681
channel 12, range 74, amp 772, level 6, msec 1540979044784, tick 10327686
channel 14, range 75, amp 594, level 5, msec 1540979044784, tick 10328835
channel 14, range 75, amp 594, level 5, msec 1540979044784, tick 10328840
channel 14, range 75, amp 594, level 5, msec 1540979044784, tick 10328845
channel 14, range 75, amp 592, level 5, msec 1540979044784, tick 10328850
channel 13, range 67, amp 569, level 5, msec 1540979044784, tick 10372288
channel 13, range 67, amp 570, level 5, msec 1540979044784, tick 10372293
channel 13, range 67, amp 569, level 5, msec 1540979044784, tick 10372298
channel 13, range 67, amp 570, level 5, msec 1540979044784, tick 10372303
channel 12, range 76, amp 773, level 6, msec 1540979044784, tick 10327691
channel 12, range 80, amp 779, level 6, msec 1540979044784, tick 10327696
channel 12, range 74, amp 772, level 6, msec 1540979044784, tick 10327702
channel 12, range 74, amp 773, level 6, msec 1540979044784, tick 10327707
channel 12, range 76, amp 755, level 6, msec 1540979044785, tick 10327712
channel 14, range 76, amp 593, level 5, msec 1540979044785, tick 10328855
channel 13, range 66, amp 569, level 5, msec 1540979044786, tick 10372308
channel 12, range 73, amp 773, level 6, msec 1540979044790, tick 10327717
channel 14, range 75, amp 592, level 5, msec 1540979044794, tick 10328860
channel 13, range 67, amp 569, level 5, msec 1540979044794, tick 10372313
channel 12, range 74, amp 772, level 6, msec 1540979044795, tick 10327722
channel 14, range 75, amp 590, level 5, msec 1540979044795, tick 10328865
channel 13, range 67, amp 569, level 5, msec 1540979044796, tick 10372318
channel 12, range 71, amp 767, level 6, msec 1540979044800, tick 10327727
channel 14, range 75, amp 593, level 5, msec 1540979044800, tick 10328870
channel 13, range 67, amp 569, level 5, msec 1540979044801, tick 10372323
channel 12, range 74, amp 773, level 6, msec 1540979044805, tick 10327732
channel 14, range 74, amp 595, level 5, msec 1540979044805, tick 10328875
channel 13, range 67, amp 570, level 5, msec 1540979044806, tick 10372327
channel 14, range 75, amp 594, level 5, msec 1540979044810, tick 10328880
channel 12, range 74, amp 773, level 6, msec 1540979044810, tick 10327737
channel 13, range 67, amp 569, level 5, msec 1540979044811, tick 10372332
channel 14, range 75, amp 594, level 5, msec 1540979044815, tick 10328885
channel 12, range 74, amp 770, level 6, msec 1540979044815, tick 10327743
channel 13, range 67, amp 569, level 5, msec 1540979044816, tick 10372337
channel 14, range 75, amp 596, level 5, msec 1540979044820, tick 10328890
channel 12, range 74, amp 773, level 6, msec 1540979044820, tick 10327748
channel 13, range 67, amp 569, level 5, msec 1540979044820, tick 10372342
channel 14, range 76, amp 593, level 5, msec 1540979044826, tick 10328895
channel 13, range 67, amp 569, level 5, msec 1540979044826, tick 10372347
channel 12, range 74, amp 772, level 6, msec 1540979044826, tick 10327753
channel 14, range 75, amp 591, level 5, msec 1540979044830, tick 10328899
channel 13, range 67, amp 569, level 5, msec 1540979044830, tick 10372352
channel 12, range 74, amp 772, level 6, msec 1540979044831, tick 10327758
channel 14, range 75, amp 592, level 5, msec 1540979044835, tick 10328904
channel 13, range 67, amp 569, level 5, msec 1540979044835, tick 10372357
channel 12, range 74, amp 772, level 6, msec 1540979044836, tick 10327763
channel 14, range 75, amp 594, level 5, msec 1540979044840, tick 10328909
channel 13, range 67, amp 570, level 5, msec 1540979044840, tick 10372362
channel 12, range 72, amp 769, level 6, msec 1540979044841, tick 10327768
channel 14, range 75, amp 594, level 5, msec 1540979044844, tick 10328914
channel 13, range 67, amp 569, level 5, msec 1540979044845, tick 10372367
channel 12, range 74, amp 773, level 6, msec 1540979044846, tick 10327773
channel 14, range 75, amp 594, level 5, msec 1540979044851, tick 10328919
channel 13, range 67, amp 570, level 5, msec 1540979044851, tick 10372372
channel 12, range 74, amp 773, level 6, msec 1540979044851, tick 10327778
channel 14, range 75, amp 595, level 5, msec 1540979044854, tick 10328924
channel 13, range 67, amp 569, level 5, msec 1540979044855, tick 10372377
channel 12, range 76, amp 755, level 6, msec 1540979044856, tick 10327784
channel 14, range 75, amp 591, level 5, msec 1540979044861, tick 10328929
channel 13, range 67, amp 569, level 5, msec 1540979044861, tick 10372382
channel 12, range 74, amp 773, level 6, msec 1540979044861, tick 10327789
channel 14, range 76, amp 595, level 5, msec 1540979044884, tick 10328934
channel 14, range 75, amp 593, level 5, msec 1540979044884, tick 10328939
channel 14, range 75, amp 594, level 5, msec 1540979044884, tick 10328944
channel 14, range 75, amp 594, level 5, msec 1540979044884, tick 10328949
channel 13, range 67, amp 570, level 5, msec 1540979044884, tick 10372387
channel 13, range 67, amp 569, level 5, msec 1540979044884, tick 10372392
channel 13, range 67, amp 570, level 5, msec 1540979044884, tick 10372396
channel 13, range 67, amp 569, level 5, msec 1540979044884, tick 10372401
channel 12, range 74, amp 773, level 6, msec 1540979044884, tick 10327794
channel 12, range 73, amp 773, level 6, msec 1540979044884, tick 10327799
channel 12, range 74, amp 773, level 6, msec 1540979044884, tick 10327804
channel 12, range 76, amp 773, level 6, msec 1540979044884, tick 10327809
channel 14, range 75, amp 594, level 5, msec 1540979044884, tick 10328954
channel 13, range 67, amp 569, level 5, msec 1540979044884, tick 10372406
channel 12, range 73, amp 774, level 6, msec 1540979044887, tick 10327814
channel 14, range 75, amp 594, level 5, msec 1540979044889, tick 10328959
channel 13, range 67, amp 569, level 5, msec 1540979044889, tick 10372411
channel 12, range 76, amp 772, level 6, msec 1540979044892, tick 10327819
channel 14, range 75, amp 594, level 5, msec 1540979044904, tick 10328964
channel 14, range 75, amp 593, level 5, msec 1540979044904, tick 10328968
channel 14, range 76, amp 595, level 5, msec 1540979044904, tick 10328973
channel 13, range 67, amp 569, level 5, msec 1540979044904, tick 10372416
channel 13, range 67, amp 569, level 5, msec 1540979044904, tick 10372421
channel 12, range 74, amp 772, level 6, msec 1540979044904, tick 10327825
channel 12, range 74, amp 773, level 6, msec 1540979044904, tick 10327830
channel 13, range 67, amp 569, level 5, msec 1540979044904, tick 10372426
channel 12, range 73, amp 772, level 6, msec 1540979044907, tick 10327835
channel 14, range 76, amp 591, level 5, msec 1540979044908, tick 10328978
channel 13, range 67, amp 569, level 5, msec 1540979044909, tick 10372431
channel 13, range 67, amp 570, level 5, msec 1540979044914, tick 10372436
channel 12, range 74, amp 772, level 6, msec 1540979044914, tick 10327840
channel 14, range 75, amp 594, level 5, msec 1540979044914, tick 10328983
channel 12, range 74, amp 773, level 6, msec 1540979044918, tick 10327845
channel 14, range 75, amp 594, level 5, msec 1540979044919, tick 10328988
channel 13, range 67, amp 570, level 5, msec 1540979044919, tick 10372441
channel 12, range 74, amp 773, level 6, msec 1540979044923, tick 10327850
channel 14, range 75, amp 594, level 5, msec 1540979044923, tick 10328993
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372446
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372451
channel 13, range 67, amp 570, level 5, msec 1540979044974, tick 10372456
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372461
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372465
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372470
channel 13, range 66, amp 569, level 5, msec 1540979044974, tick 10372475
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372480
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372485
channel 13, range 67, amp 570, level 5, msec 1540979044974, tick 10372490
channel 13, range 67, amp 569, level 5, msec 1540979044974, tick 10372495
channel 12, range 76, amp 759, level 6, msec 1540979044974, tick 10327855
channel 12, range 74, amp 773, level 6, msec 1540979044974, tick 10327860
channel 12, range 74, amp 772, level 6, msec 1540979044974, tick 10327866
channel 12, range 69, amp 755, level 6, msec 1540979044974, tick 10327871
channel 12, range 74, amp 772, level 6, msec 1540979044974, tick 10327876
channel 12, range 73, amp 776, level 6, msec 1540979044974, tick 10327881
channel 12, range 79, amp 743, level 6, msec 1540979044974, tick 10327886
channel 14, range 75, amp 593, level 5, msec 1540979044994, tick 10328998
channel 14, range 75, amp 594, level 5, msec 1540979044994, tick 10329003
channel 14, range 76, amp 594, level 5, msec 1540979044994, tick 10329008
channel 14, range 76, amp 592, level 5, msec 1540979044994, tick 10329013
channel 14, range 75, amp 591, level 5, msec 1540979044994, tick 10329018
channel 14, range 76, amp 594, level 5, msec 1540979044994, tick 10329023
channel 14, range 76, amp 593, level 5, msec 1540979044994, tick 10329028
channel 14, range 75, amp 592, level 5, msec 1540979044994, tick 10329033
channel 14, range 75, amp 595, level 5, msec 1540979044994, tick 10329038
channel 14, range 75, amp 593, level 5, msec 1540979044994, tick 10329042
channel 14, range 75, amp 591, level 5, msec 1540979044994, tick 10329047
channel 14, range 76, amp 594, level 5, msec 1540979044994, tick 10329052
channel 14, range 75, amp 591, level 5, msec 1540979044994, tick 10329057
channel 14, range 75, amp 594, level 5, msec 1540979044994, tick 10329062
channel 13, range 67, amp 570, level 5, msec 1540979044994, tick 10372500
channel 13, range 67, amp 569, level 5, msec 1540979044994, tick 10372505
channel 13, range 67, amp 569, level 5, msec 1540979044994, tick 10372510
channel 13, range 67, amp 569, level 5, msec 1540979044994, tick 10372515
channel 12, range 74, amp 773, level 6, msec 1540979044994, tick 10327891
channel 12, range 78, amp 772, level 6, msec 1540979044994, tick 10327896
channel 12, range 76, amp 773, level 6, msec 1540979044994, tick 10327901
channel 12, range 73, amp 773, level 6, msec 1540979044994, tick 10327907
channel 12, range 76, amp 794, level 6, msec 1540979044994, tick 10327912
channel 12, range 74, amp 773, level 6, msec 1540979044994, tick 10327917
channel 12, range 74, amp 772, level 6, msec 1540979044994, tick 10327922
channel 13, range 67, amp 569, level 5, msec 1540979044997, tick 10372520
channel 14, range 75, amp 594, level 5, msec 1540979044997, tick 10329067
channel 12, range 73, amp 742, level 6, msec 1540979044999, tick 10327927
channel 13, range 67, amp 569, level 5, msec 1540979045002, tick 10372525
channel 14, range 75, amp 594, level 5, msec 1540979045002, tick 10329072
channel 12, range 74, amp 773, level 6, msec 1540979045004, tick 10327932
channel 13, range 67, amp 570, level 5, msec 1540979045007, tick 10372530
channel 14, range 75, amp 594, level 5, msec 1540979045007, tick 10329077
channel 12, range 74, amp 773, level 6, msec 1540979045010, tick 10327937
channel 13, range 67, amp 568, level 5, msec 1540979045012, tick 10372535
channel 14, range 75, amp 594, level 5, msec 1540979045012, tick 10329082
