channel 14, range 42, amp 771, level 5, msec 1540976504298, tick 7786240
channel 13, range 35, amp 552, level 4, msec 1540976504299, tick 7818966
channel 14, range 42, amp 767, level 5, msec 1540976504303, tick 7786245
channel 13, range 35, amp 551, level 4, msec 1540976504304, tick 7818971
channel 14, range 42, amp 769, level 5, msec 1540976504308, tick 7786250
channel 13, range 37, amp 552, level 4, msec 1540976504309, tick 7818975
channel 14, range 42, amp 772, level 5, msec 1540976504313, tick 7786255
channel 13, range 35, amp 553, level 4, msec 1540976504314, tick 7818980
channel 14, range 42, amp 772, level 5, msec 1540976504318, tick 7786260
channel 13, range 35, amp 551, level 4, msec 1540976504319, tick 7818985
channel 14, range 42, amp 771, level 5, msec 1540976504323, tick 7786265
channel 13, range 35, amp 549, level 4, msec 1540976504323, tick 7818990
channel 14, range 42, amp 771, level 5, msec 1540976504328, tick 7786270
channel 13, range 35, amp 552, level 4, msec 1540976504328, tick 7818995
channel 13, range 37, amp 549, level 4, msec 1540976504333, tick 7819000
channel 14, range 42, amp 772, level 5, msec 1540976504333, tick 7786275
channel 13, range 37, amp 553, level 4, msec 1540976504338, tick 7819004
channel 14, range 42, amp 771, level 5, msec 1540976504338, tick 7786280
channel 13, range 35, amp 552, level 4, msec 1540976504342, tick 7819009
channel 14, range 42, amp 769, level 5, msec 1540976504343, tick 7786284
channel 13, range 35, amp 553, level 4, msec 1540976504347, tick 7819014
channel 14, range 42, amp 771, level 5, msec 1540976504348, tick 7786289
channel 13, range 35, amp 550, level 4, msec 1540976504352, tick 7819019
channel 14, range 42, amp 772, level 5, msec 1540976504353, tick 7786294
channel 13, range 37, amp 550, level 4, msec 1540976504357, tick 7819024
channel 14, range 42, amp 771, level 5, msec 1540976504357, tick 7786299
channel 13, range 35, amp 553, level 4, msec 1540976504362, tick 7819029
channel 14, range 42, amp 771, level 5, msec 1540976504362, tick 7786304
channel 13, range 35, amp 550, level 4, msec 1540976504367, tick 7819033
channel 14, range 42, amp 770, level 5, msec 1540976504367, tick 7786309
channel 13, range 37, amp 551, level 4, msec 1540976504372, tick 7819038
channel 14, range 42, amp 771, level 5, msec 1540976504372, tick 7786314
channel 13, range 35, amp 552, level 4, msec 1540976504376, tick 7819043
channel 14, range 42, amp 772, level 5, msec 1540976504377, tick 7786319
channel 13, range 35, amp 552, level 4, msec 1540976504381, tick 7819048
channel 14, range 42, amp 770, level 5, msec 1540976504382, tick 7786324
channel 13, range 35, amp 551, level 4, msec 1540976504386, tick 7819053
channel 14, range 42, amp 770, level 5, msec 1540976504387, tick 7786329
channel 13, range 35, amp 552, level 4, msec 1540976504391, tick 7819058
channel 14, range 41, amp 771, level 5, msec 1540976504392, tick 7786334
channel 13, range 35, amp 552, level 4, msec 1540976504395, tick 7819062
channel 14, range 42, amp 771, level 5, msec 1540976504397, tick 7786339
channel 13, range 35, amp 550, level 4, msec 1540976504400, tick 7819067
channel 14, range 42, amp 771, level 5, msec 1540976504402, tick 7786344
channel 13, range 35, amp 549, level 4, msec 1540976504405, tick 7819072
channel 14, range 42, amp 771, level 5, msec 1540976504407, tick 7786348
channel 13, range 35, amp 552, level 4, msec 1540976504410, tick 7819077
channel 14, range 42, amp 770, level 5, msec 1540976504412, tick 7786353
channel 13, range 34, amp 552, level 4, msec 1540976504415, tick 7819082
channel 14, range 42, amp 771, level 5, msec 1540976504417, tick 7786358
channel 13, range 35, amp 555, level 4, msec 1540976504419, tick 7819087
channel 14, range 42, amp 771, level 5, msec 1540976504422, tick 7786363
channel 13, range 35, amp 552, level 4, msec 1540976504424, tick 7819091
