channel 5, range 68, amp 409, level 5, msec 1540978319133, tick 256240
channel 7, range 68, amp 774, level 6, msec 1540978319133, tick 257783
channel 6, range 66, amp 550, level 5, msec 1540978319137, tick 257247
channel 5, range 68, amp 410, level 5, msec 1540978319137, tick 256245
channel 7, range 68, amp 769, level 6, msec 1540978319138, tick 257788
channel 6, range 66, amp 549, level 5, msec 1540978319142, tick 257252
channel 5, range 68, amp 409, level 5, msec 1540978319142, tick 256250
channel 7, range 68, amp 774, level 6, msec 1540978319146, tick 257793
channel 6, range 66, amp 549, level 5, msec 1540978319147, tick 257257
channel 5, range 68, amp 408, level 5, msec 1540978319147, tick 256255
channel 7, range 68, amp 774, level 6, msec 1540978319148, tick 257798
channel 6, range 66, amp 550, level 5, msec 1540978319151, tick 257262
channel 5, range 67, amp 408, level 5, msec 1540978319152, tick 256260
channel 7, range 68, amp 775, level 6, msec 1540978319157, tick 257803
channel 6, range 66, amp 549, level 5, msec 1540978319157, tick 257267
channel 5, range 68, amp 409, level 5, msec 1540978319157, tick 256265
channel 7, range 68, amp 773, level 6, msec 1540978319159, tick 257808
channel 6, range 67, amp 549, level 5, msec 1540978319161, tick 257272
channel 5, range 68, amp 409, level 5, msec 1540978319161, tick 256270
channel 7, range 68, amp 775, level 6, msec 1540978319164, tick 257813
channel 6, range 66, amp 550, level 5, msec 1540978319167, tick 257277
channel 5, range 68, amp 409, level 5, msec 1540978319167, tick 256275
channel 7, range 68, amp 772, level 6, msec 1540978319169, tick 257818
channel 6, range 66, amp 549, level 5, msec 1540978319171, tick 257282
channel 5, range 68, amp 410, level 5, msec 1540978319171, tick 256280
channel 7, range 68, amp 776, level 6, msec 1540978319174, tick 257824
channel 6, range 66, amp 549, level 5, msec 1540978319176, tick 257287
channel 5, range 68, amp 410, level 5, msec 1540978319176, tick 256285
channel 7, range 68, amp 774, level 6, msec 1540978319179, tick 257829
channel 6, range 66, amp 550, level 5, msec 1540978319181, tick 257292
channel 5, range 68, amp 409, level 5, msec 1540978319181, tick 256290
channel 7, range 68, amp 775, level 6, msec 1540978319184, tick 257834
channel 6, range 66, amp 549, level 5, msec 1540978319186, tick 257297
channel 5, range 68, amp 411, level 5, msec 1540978319186, tick 256295
channel 7, range 68, amp 768, level 6, msec 1540978319196, tick 257839
channel 7, range 68, amp 774, level 6, msec 1540978319196, tick 257844
channel 6, range 66, amp 548, level 5, msec 1540978319196, tick 257301
channel 6, range 66, amp 550, level 5, msec 1540978319196, tick 257306
channel 5, range 68, amp 410, level 5, msec 1540978319196, tick 256300
channel 5, range 68, amp 408, level 5, msec 1540978319196, tick 256304
channel 7, range 68, amp 775, level 6, msec 1540978319201, tick 257849
channel 6, range 67, amp 549, level 5, msec 1540978319201, tick 257311
channel 5, range 68, amp 409, level 5, msec 1540978319201, tick 256309
channel 7, range 68, amp 769, level 6, msec 1540978319207, tick 257854
channel 6, range 66, amp 550, level 5, msec 1540978319207, tick 257316
channel 5, range 68, amp 409, level 5, msec 1540978319207, tick 256314
channel 7, range 68, amp 773, level 6, msec 1540978319210, tick 257860
channel 6, range 66, amp 549, level 5, msec 1540978319210, tick 257321
channel 5, range 68, amp 409, level 5, msec 1540978319211, tick 256319
channel 7, range 68, amp 774, level 6, msec 1540978319216, tick 257865
channel 6, range 66, amp 550, level 5, msec 1540978319216, tick 257326
channel 5, range 68, amp 409, level 5, msec 1540978319216, tick 256324
channel 7, range 68, amp 775, level 6, msec 1540978319220, tick 257870
channel 6, range 66, amp 550, level 5, msec 1540978319220, tick 257331
channel 5, range 68, amp 408, level 5, msec 1540978319221, tick 256329
channel 7, range 67, amp 774, level 6, msec 1540978319225, tick 257875
channel 6, range 66, amp 549, level 5, msec 1540978319225, tick 257336
channel 5, range 67, amp 410, level 5, msec 1540978319225, tick 256334
channel 6, range 66, amp 549, level 5, msec 1540978319230, tick 257341
channel 7, range 68, amp 773, level 6, msec 1540978319230, tick 257880
channel 5, range 67, amp 409, level 5, msec 1540978319230, tick 256339
channel 6, range 66, amp 550, level 5, msec 1540978319235, tick 257346
channel 7, range 68, amp 774, level 6, msec 1540978319236, tick 257885
