channel 4, range 144, amp 633, level 7, msec 1540980382561, tick 1414965
channel 3, range 142, amp 584, level 8, msec 1540980382561, tick 1410202
channel 4, range 145, amp 635, level 7, msec 1540980382566, tick 1414970
channel 3, range 142, amp 581, level 8, msec 1540980382566, tick 1410209
channel 4, range 145, amp 634, level 7, msec 1540980382572, tick 1414976
channel 3, range 142, amp 585, level 8, msec 1540980382572, tick 1410215
channel 4, range 144, amp 633, level 7, msec 1540980382575, tick 1414981
channel 3, range 144, amp 581, level 8, msec 1540980382578, tick 1410221
channel 4, range 145, amp 631, level 7, msec 1540980382580, tick 1414987
channel 3, range 142, amp 588, level 8, msec 1540980382584, tick 1410228
channel 4, range 146, amp 632, level 7, msec 1540980382586, tick 1414992
channel 3, range 142, amp 585, level 8, msec 1540980382591, tick 1410234
channel 4, range 145, amp 631, level 7, msec 1540980382591, tick 1414998
channel 4, range 145, amp 634, level 7, msec 1540980382597, tick 1415004
channel 3, range 141, amp 579, level 8, msec 1540980382597, tick 1410240
channel 4, range 146, amp 634, level 7, msec 1540980382616, tick 1415009
channel 4, range 146, amp 634, level 7, msec 1540980382616, tick 1415015
channel 4, range 145, amp 635, level 7, msec 1540980382616, tick 1415020
channel 3, range 142, amp 587, level 8, msec 1540980382616, tick 1410247
channel 3, range 142, amp 579, level 8, msec 1540980382616, tick 1410253
channel 3, range 142, amp 583, level 8, msec 1540980382616, tick 1410259
channel 4, range 146, amp 634, level 7, msec 1540980382636, tick 1415026
channel 4, range 145, amp 634, level 7, msec 1540980382636, tick 1415031
channel 3, range 142, amp 579, level 8, msec 1540980382636, tick 1410266
channel 4, range 145, amp 633, level 7, msec 1540980382669, tick 1415037
channel 4, range 145, amp 634, level 7, msec 1540980382669, tick 1415042
channel 4, range 145, amp 635, level 7, msec 1540980382669, tick 1415048
channel 4, range 145, amp 633, level 7, msec 1540980382669, tick 1415053
channel 4, range 145, amp 634, level 7, msec 1540980382669, tick 1415059
channel 4, range 146, amp 632, level 7, msec 1540980382669, tick 1415064
channel 4, range 146, amp 633, level 7, msec 1540980382669, tick 1415070
channel 4, range 145, amp 634, level 7, msec 1540980382669, tick 1415076
channel 3, range 143, amp 584, level 8, msec 1540980382669, tick 1410272
channel 3, range 144, amp 581, level 8, msec 1540980382669, tick 1410278
channel 3, range 144, amp 580, level 8, msec 1540980382669, tick 1410285
channel 3, range 141, amp 587, level 8, msec 1540980382669, tick 1410291
channel 3, range 143, amp 586, level 8, msec 1540980382669, tick 1410297
