channel 15, range 133, amp 554, level 8, msec 1540980171631, tick 11492201
channel 14, range 121, amp 554, level 6, msec 1540980171631, tick 11456670
channel 13, range 126, amp 672, level 8, msec 1540980171632, tick 11504826
channel 14, range 121, amp 553, level 6, msec 1540980171636, tick 11456675
channel 15, range 132, amp 555, level 8, msec 1540980171637, tick 11492208
channel 13, range 124, amp 673, level 8, msec 1540980171639, tick 11504832
channel 14, range 121, amp 552, level 6, msec 1540980171642, tick 11456680
channel 15, range 133, amp 554, level 8, msec 1540980171645, tick 11492214
channel 13, range 123, amp 673, level 8, msec 1540980171647, tick 11504839
channel 14, range 122, amp 549, level 6, msec 1540980171648, tick 11456685
channel 15, range 133, amp 554, level 8, msec 1540980171652, tick 11492220
channel 14, range 121, amp 551, level 6, msec 1540980171652, tick 11456690
channel 13, range 122, amp 673, level 8, msec 1540980171652, tick 11504845
channel 15, range 133, amp 554, level 8, msec 1540980171657, tick 11492227
channel 14, range 121, amp 553, level 6, msec 1540980171657, tick 11456696
channel 13, range 122, amp 674, level 8, msec 1540980171657, tick 11504851
channel 14, range 121, amp 552, level 6, msec 1540980171662, tick 11456701
channel 15, range 133, amp 556, level 8, msec 1540980171663, tick 11492233
channel 13, range 124, amp 674, level 8, msec 1540980171664, tick 11504858
channel 14, range 121, amp 553, level 6, msec 1540980171667, tick 11456706
channel 15, range 133, amp 554, level 8, msec 1540980171669, tick 11492239
channel 13, range 123, amp 674, level 8, msec 1540980171670, tick 11504864
channel 14, range 121, amp 553, level 6, msec 1540980171672, tick 11456711
channel 15, range 133, amp 555, level 8, msec 1540980171675, tick 11492246
channel 13, range 123, amp 675, level 8, msec 1540980171676, tick 11504871
channel 14, range 122, amp 552, level 6, msec 1540980171677, tick 11456716
channel 15, range 133, amp 554, level 8, msec 1540980171682, tick 11492252
channel 13, range 123, amp 673, level 8, msec 1540980171682, tick 11504877
channel 14, range 122, amp 549, level 6, msec 1540980171683, tick 11456721
channel 15, range 133, amp 554, level 8, msec 1540980171688, tick 11492258
channel 14, range 121, amp 553, level 6, msec 1540980171688, tick 11456726
channel 13, range 122, amp 674, level 8, msec 1540980171689, tick 11504883
channel 14, range 121, amp 552, level 6, msec 1540980171693, tick 11456731
channel 15, range 133, amp 554, level 8, msec 1540980171694, tick 11492265
channel 13, range 124, amp 672, level 8, msec 1540980171695, tick 11504890
channel 15, range 133, amp 554, level 8, msec 1540980171716, tick 11492271
channel 15, range 132, amp 555, level 8, msec 1540980171716, tick 11492277
channel 15, range 132, amp 555, level 8, msec 1540980171716, tick 11492284
channel 14, range 121, amp 553, level 6, msec 1540980171716, tick 11456737
channel 14, range 121, amp 551, level 6, msec 1540980171716, tick 11456742
channel 14, range 122, amp 552, level 6, msec 1540980171716, tick 11456747
channel 14, range 122, amp 551, level 6, msec 1540980171716, tick 11456752
