channel 5, range 121, amp 509, level 7, msec 1540979392100, tick 417594
channel 6, range 125, amp 738, level 7, msec 1540979392105, tick 419356
channel 5, range 120, amp 510, level 7, msec 1540979392105, tick 417599
channel 6, range 124, amp 740, level 7, msec 1540979392110, tick 419361
channel 5, range 121, amp 507, level 7, msec 1540979392110, tick 417605
channel 6, range 124, amp 741, level 7, msec 1540979392116, tick 419367
channel 5, range 120, amp 509, level 7, msec 1540979392116, tick 417611
channel 6, range 123, amp 740, level 7, msec 1540979392122, tick 419372
channel 5, range 120, amp 509, level 7, msec 1540979392122, tick 417616
channel 6, range 124, amp 741, level 7, msec 1540979392156, tick 419378
channel 6, range 124, amp 738, level 7, msec 1540979392156, tick 419383
channel 6, range 124, amp 740, level 7, msec 1540979392156, tick 419389
channel 6, range 125, amp 738, level 7, msec 1540979392156, tick 419394
channel 6, range 124, amp 741, level 7, msec 1540979392156, tick 419400
channel 6, range 124, amp 740, level 7, msec 1540979392156, tick 419405
channel 5, range 120, amp 509, level 7, msec 1540979392156, tick 417622
channel 5, range 120, amp 510, level 7, msec 1540979392156, tick 417627
channel 5, range 120, amp 510, level 7, msec 1540979392156, tick 417633
channel 5, range 120, amp 510, level 7, msec 1540979392156, tick 417638
channel 5, range 121, amp 509, level 7, msec 1540979392156, tick 417644
channel 5, range 120, amp 511, level 7, msec 1540979392156, tick 417649
channel 6, range 124, amp 739, level 7, msec 1540979392160, tick 419411
channel 5, range 120, amp 508, level 7, msec 1540979392162, tick 417655
channel 6, range 124, amp 738, level 7, msec 1540979392165, tick 419417
channel 5, range 120, amp 509, level 7, msec 1540979392166, tick 417660
channel 6, range 125, amp 739, level 7, msec 1540979392171, tick 419422
channel 5, range 120, amp 508, level 7, msec 1540979392171, tick 417666
channel 6, range 124, amp 742, level 7, msec 1540979392176, tick 419428
channel 5, range 121, amp 506, level 7, msec 1540979392177, tick 417672
channel 6, range 125, amp 740, level 7, msec 1540979392182, tick 419433
channel 5, range 120, amp 509, level 7, msec 1540979392183, tick 417677
channel 6, range 124, amp 739, level 7, msec 1540979392191, tick 419439
channel 5, range 120, amp 510, level 7, msec 1540979392191, tick 417683
channel 6, range 125, amp 741, level 7, msec 1540979392193, tick 419444
channel 5, range 120, amp 509, level 7, msec 1540979392195, tick 417688
channel 6, range 124, amp 739, level 7, msec 1540979392198, tick 419450
channel 5, range 120, amp 510, level 7, msec 1540979392200, tick 417694
channel 6, range 123, amp 739, level 7, msec 1540979392204, tick 419455
channel 5, range 120, amp 508, level 7, msec 1540979392205, tick 417699
channel 6, range 124, amp 740, level 7, msec 1540979392209, tick 419461
channel 5, range 120, amp 509, level 7, msec 1540979392210, tick 417705
channel 6, range 125, amp 736, level 7, msec 1540979392215, tick 419466
channel 5, range 121, amp 509, level 7, msec 1540979392216, tick 417710
channel 6, range 124, amp 740, level 7, msec 1540979392220, tick 419472
channel 5, range 120, amp 510, level 7, msec 1540979392222, tick 417716
channel 6, range 124, amp 741, level 7, msec 1540979392246, tick 419477
channel 6, range 124, amp 741, level 7, msec 1540979392246, tick 419483
channel 6, range 125, amp 740, level 7, msec 1540979392246, tick 419489
channel 6, range 124, amp 741, level 7, msec 1540979392246, tick 419494
channel 5, range 120, amp 510, level 7, msec 1540979392247, tick 417721
