channel 2, range 40, amp 745, level 5, msec 1540977954544, tick 46286
channel 3, range 37, amp 739, level 5, msec 1540977954546, tick 46180
channel 2, range 40, amp 745, level 5, msec 1540977954549, tick 46291
channel 3, range 37, amp 740, level 5, msec 1540977954550, tick 46185
channel 2, range 41, amp 745, level 5, msec 1540977954555, tick 46296
channel 3, range 37, amp 740, level 5, msec 1540977954557, tick 46190
channel 2, range 41, amp 745, level 5, msec 1540977954560, tick 46301
channel 3, range 37, amp 739, level 5, msec 1540977954560, tick 46195
channel 2, range 40, amp 746, level 5, msec 1540977954567, tick 46306
channel 3, range 37, amp 739, level 5, msec 1540977954567, tick 46200
channel 3, range 37, amp 738, level 5, msec 1540977954570, tick 46205
channel 2, range 40, amp 746, level 5, msec 1540977954571, tick 46311
channel 2, range 40, amp 745, level 5, msec 1540977954574, tick 46315
channel 3, range 37, amp 739, level 5, msec 1540977954575, tick 46210
channel 2, range 40, amp 745, level 5, msec 1540977954579, tick 46320
channel 3, range 37, amp 740, level 5, msec 1540977954580, tick 46215
channel 3, range 37, amp 740, level 5, msec 1540977954586, tick 46220
channel 2, range 40, amp 746, level 5, msec 1540977954586, tick 46325
channel 2, range 40, amp 745, level 5, msec 1540977954589, tick 46330
channel 3, range 37, amp 739, level 5, msec 1540977954593, tick 46225
channel 2, range 41, amp 745, level 5, msec 1540977954595, tick 46335
channel 3, range 37, amp 739, level 5, msec 1540977954595, tick 46230
channel 2, range 40, amp 745, level 5, msec 1540977954599, tick 46340
channel 3, range 37, amp 739, level 5, msec 1540977954601, tick 46235
channel 2, range 40, amp 745, level 5, msec 1540977954604, tick 46345
channel 3, range 37, amp 739, level 5, msec 1540977954605, tick 46240
channel 2, range 41, amp 745, level 5, msec 1540977954609, tick 46350
channel 3, range 37, amp 741, level 5, msec 1540977954611, tick 46244
channel 2, range 41, amp 745, level 5, msec 1540977954614, tick 46355
channel 3, range 37, amp 739, level 5, msec 1540977954614, tick 46249
channel 2, range 41, amp 744, level 5, msec 1540977954619, tick 46360
channel 3, range 37, amp 740, level 5, msec 1540977954620, tick 46254
channel 2, range 41, amp 745, level 5, msec 1540977954625, tick 46365
channel 3, range 37, amp 739, level 5, msec 1540977954626, tick 46259
channel 2, range 41, amp 746, level 5, msec 1540977954628, tick 46370
channel 3, range 37, amp 739, level 5, msec 1540977954629, tick 46264
channel 2, range 41, amp 744, level 5, msec 1540977954634, tick 46375
channel 3, range 37, amp 740, level 5, msec 1540977954634, tick 46269
channel 2, range 41, amp 745, level 5, msec 1540977954639, tick 46380
channel 3, range 37, amp 739, level 5, msec 1540977954639, tick 46274
channel 2, range 41, amp 745, level 5, msec 1540977954644, tick 46385
channel 3, range 37, amp 739, level 5, msec 1540977954644, tick 46279
channel 2, range 40, amp 745, level 5, msec 1540977954648, tick 46390
channel 3, range 37, amp 740, level 5, msec 1540977954649, tick 46284
channel 2, range 41, amp 746, level 5, msec 1540977954655, tick 46395
channel 2, range 41, amp 745, level 5, msec 1540977954658, tick 46400
channel 3, range 37, amp 740, level 5, msec 1540977954659, tick 46289
channel 3, range 37, amp 739, level 5, msec 1540977954659, tick 46294
channel 2, range 40, amp 746, level 5, msec 1540977954663, tick 46405
channel 2, range 41, amp 745, level 5, msec 1540977954669, tick 46410
channel 3, range 37, amp 740, level 5, msec 1540977954669, tick 46299
channel 3, range 37, amp 739, level 5, msec 1540977954669, tick 46304
channel 2, range 41, amp 745, level 5, msec 1540977954672, tick 46415
channel 3, range 37, amp 740, level 5, msec 1540977954673, tick 46308
channel 2, range 41, amp 745, level 5, msec 1540977954677, tick 46420
channel 3, range 37, amp 740, level 5, msec 1540977954678, tick 46313
channel 2, range 41, amp 745, level 5, msec 1540977954682, tick 46425
channel 3, range 39, amp 740, level 5, msec 1540977954683, tick 46318
channel 2, range 40, amp 745, level 5, msec 1540977954687, tick 46430
channel 3, range 37, amp 740, level 5, msec 1540977954689, tick 46323
channel 2, range 40, amp 745, level 5, msec 1540977954692, tick 46435
channel 3, range 39, amp 741, level 5, msec 1540977954693, tick 46328
channel 2, range 40, amp 745, level 5, msec 1540977954697, tick 46439
channel 3, range 37, amp 740, level 5, msec 1540977954698, tick 46333
channel 2, range 40, amp 744, level 5, msec 1540977954702, tick 46444
channel 3, range 37, amp 739, level 5, msec 1540977954703, tick 46338
channel 2, range 40, amp 745, level 5, msec 1540977954707, tick 46449
channel 3, range 39, amp 741, level 5, msec 1540977954708, tick 46343
channel 2, range 41, amp 745, level 5, msec 1540977954713, tick 46454
channel 3, range 37, amp 739, level 5, msec 1540977954713, tick 46348
channel 2, range 41, amp 745, level 5, msec 1540977954718, tick 46459
channel 3, range 37, amp 739, level 5, msec 1540977954718, tick 46353
channel 3, range 37, amp 740, level 5, msec 1540977954725, tick 46358
channel 2, range 41, amp 744, level 5, msec 1540977954725, tick 46464
channel 3, range 37, amp 740, level 5, msec 1540977954729, tick 46363
channel 3, range 37, amp 740, level 5, msec 1540977954733, tick 46368
channel 2, range 41, amp 746, level 5, msec 1540977954733, tick 46469
channel 2, range 41, amp 745, level 5, msec 1540977954733, tick 46474
channel 3, range 37, amp 739, level 5, msec 1540977954738, tick 46372
channel 2, range 41, amp 745, level 5, msec 1540977954738, tick 46479
channel 3, range 37, amp 740, level 5, msec 1540977954742, tick 46377
channel 2, range 41, amp 745, level 5, msec 1540977954743, tick 46484
channel 3, range 37, amp 738, level 5, msec 1540977954748, tick 46382
channel 2, range 40, amp 745, level 5, msec 1540977954748, tick 46489
channel 3, range 37, amp 741, level 5, msec 1540977954753, tick 46387
channel 2, range 41, amp 746, level 5, msec 1540977954754, tick 46494
channel 3, range 37, amp 740, level 5, msec 1540977954758, tick 46392
channel 2, range 41, amp 745, level 5, msec 1540977954758, tick 46499
channel 3, range 37, amp 740, level 5, msec 1540977954762, tick 46397
channel 2, range 41, amp 746, level 5, msec 1540977954763, tick 46504
channel 3, range 37, amp 740, level 5, msec 1540977954767, tick 46402
channel 2, range 41, amp 745, level 5, msec 1540977954768, tick 46509
channel 3, range 37, amp 740, level 5, msec 1540977954772, tick 46407
channel 2, range 41, amp 745, level 5, msec 1540977954773, tick 46514
channel 3, range 39, amp 740, level 5, msec 1540977954778, tick 46412
channel 2, range 41, amp 745, level 5, msec 1540977954780, tick 46519
channel 3, range 37, amp 739, level 5, msec 1540977954784, tick 46417
channel 3, range 37, amp 739, level 5, msec 1540977954787, tick 46422
channel 2, range 41, amp 745, level 5, msec 1540977954787, tick 46524
channel 2, range 41, amp 746, level 5, msec 1540977954787, tick 46529
channel 3, range 37, amp 739, level 5, msec 1540977954793, tick 46427
channel 3, range 37, amp 739, level 5, msec 1540977954797, tick 46432
channel 2, range 41, amp 745, level 5, msec 1540977954797, tick 46534
channel 2, range 41, amp 745, level 5, msec 1540977954797, tick 46539
channel 3, range 37, amp 739, level 5, msec 1540977954801, tick 46437
channel 2, range 41, amp 745, level 5, msec 1540977954802, tick 46544
channel 2, range 41, amp 746, level 5, msec 1540977954808, tick 46549
channel 3, range 37, amp 740, level 5, msec 1540977954808, tick 46441
channel 2, range 41, amp 745, level 5, msec 1540977954811, tick 46554
channel 3, range 39, amp 739, level 5, msec 1540977954811, tick 46446
channel 2, range 40, amp 745, level 5, msec 1540977954819, tick 46559
channel 2, range 41, amp 746, level 5, msec 1540977954822, tick 46563
channel 3, range 37, amp 739, level 5, msec 1540977954823, tick 46451
channel 3, range 37, amp 740, level 5, msec 1540977954824, tick 46456
channel 2, range 41, amp 745, level 5, msec 1540977954832, tick 46568
channel 2, range 40, amp 746, level 5, msec 1540977954832, tick 46573
channel 3, range 39, amp 740, level 5, msec 1540977954836, tick 46461
channel 3, range 37, amp 740, level 5, msec 1540977954836, tick 46466
channel 2, range 40, amp 746, level 5, msec 1540977954840, tick 46578
channel 2, range 41, amp 746, level 5, msec 1540977954841, tick 46583
channel 3, range 37, amp 739, level 5, msec 1540977954843, tick 46471
channel 3, range 37, amp 740, level 5, msec 1540977954843, tick 46476
channel 3, range 37, amp 740, level 5, msec 1540977954847, tick 46481
channel 2, range 41, amp 745, level 5, msec 1540977954853, tick 46588
channel 2, range 41, amp 745, level 5, msec 1540977954853, tick 46593
channel 3, range 37, amp 739, level 5, msec 1540977954857, tick 46486
channel 3, range 37, amp 741, level 5, msec 1540977954857, tick 46491
channel 3, range 37, amp 740, level 5, msec 1540977954861, tick 46496
channel 3, range 37, amp 740, level 5, msec 1540977954866, tick 46501
channel 3, range 37, amp 739, level 5, msec 1540977954876, tick 46505
channel 3, range 37, amp 738, level 5, msec 1540977954876, tick 46510
channel 3, range 37, amp 739, level 5, msec 1540977954886, tick 46515
channel 3, range 37, amp 740, level 5, msec 1540977954886, tick 46520
channel 3, range 37, amp 740, level 5, msec 1540977954906, tick 46525
channel 3, range 37, amp 739, level 5, msec 1540977954906, tick 46530
channel 3, range 37, amp 741, level 5, msec 1540977954906, tick 46535
channel 3, range 39, amp 739, level 5, msec 1540977954906, tick 46540
channel 3, range 37, amp 739, level 5, msec 1540977954911, tick 46545
channel 2, range 41, amp 745, level 5, msec 1540977954911, tick 46598
channel 2, range 41, amp 746, level 5, msec 1540977954911, tick 46603
channel 2, range 41, amp 745, level 5, msec 1540977954911, tick 46608
channel 2, range 40, amp 746, level 5, msec 1540977954912, tick 46613
channel 2, range 41, amp 745, level 5, msec 1540977954912, tick 46618
channel 2, range 41, amp 745, level 5, msec 1540977954912, tick 46623
channel 2, range 40, amp 746, level 5, msec 1540977954912, tick 46628
channel 2, range 41, amp 745, level 5, msec 1540977954912, tick 46633
