channel 14, range 42, amp 748, level 5, msec 1540977177520, tick 8460119
channel 13, range 38, amp 429, level 4, msec 1540977177521, tick 8495603
channel 14, range 42, amp 748, level 5, msec 1540977177525, tick 8460124
channel 13, range 39, amp 428, level 4, msec 1540977177526, tick 8495608
channel 14, range 42, amp 747, level 5, msec 1540977177530, tick 8460128
channel 13, range 39, amp 429, level 4, msec 1540977177531, tick 8495613
channel 14, range 42, amp 749, level 5, msec 1540977177535, tick 8460133
channel 13, range 38, amp 429, level 4, msec 1540977177536, tick 8495618
channel 14, range 42, amp 747, level 5, msec 1540977177540, tick 8460138
channel 13, range 39, amp 424, level 4, msec 1540977177541, tick 8495622
channel 14, range 42, amp 747, level 5, msec 1540977177545, tick 8460143
channel 13, range 38, amp 426, level 4, msec 1540977177546, tick 8495627
channel 14, range 42, amp 747, level 5, msec 1540977177550, tick 8460148
channel 13, range 41, amp 425, level 4, msec 1540977177550, tick 8495632
channel 14, range 42, amp 748, level 5, msec 1540977177557, tick 8460153
channel 13, range 38, amp 431, level 4, msec 1540977177557, tick 8495637
channel 14, range 42, amp 747, level 5, msec 1540977177560, tick 8460158
channel 13, range 42, amp 426, level 4, msec 1540977177560, tick 8495642
channel 14, range 42, amp 745, level 5, msec 1540977177565, tick 8460163
channel 13, range 37, amp 425, level 4, msec 1540977177566, tick 8495647
channel 13, range 39, amp 431, level 4, msec 1540977177570, tick 8495651
channel 14, range 42, amp 747, level 5, msec 1540977177570, tick 8460168
channel 13, range 39, amp 429, level 4, msec 1540977177574, tick 8495656
channel 14, range 42, amp 748, level 5, msec 1540977177575, tick 8460173
channel 13, range 39, amp 429, level 4, msec 1540977177579, tick 8495661
channel 14, range 42, amp 746, level 5, msec 1540977177580, tick 8460178
channel 13, range 39, amp 429, level 4, msec 1540977177584, tick 8495666
channel 14, range 42, amp 747, level 5, msec 1540977177584, tick 8460183
channel 13, range 39, amp 429, level 4, msec 1540977177589, tick 8495671
channel 14, range 42, amp 748, level 5, msec 1540977177589, tick 8460188
channel 13, range 39, amp 429, level 4, msec 1540977177594, tick 8495676
channel 14, range 42, amp 747, level 5, msec 1540977177594, tick 8460193
channel 13, range 39, amp 429, level 4, msec 1540977177599, tick 8495681
channel 14, range 42, amp 747, level 5, msec 1540977177599, tick 8460198
channel 13, range 39, amp 429, level 4, msec 1540977177604, tick 8495685
channel 14, range 42, amp 745, level 5, msec 1540977177604, tick 8460203
channel 13, range 39, amp 424, level 4, msec 1540977177608, tick 8495690
channel 14, range 42, amp 747, level 5, msec 1540977177609, tick 8460208
channel 13, range 41, amp 429, level 4, msec 1540977177613, tick 8495695
channel 14, range 42, amp 746, level 5, msec 1540977177614, tick 8460212
channel 13, range 41, amp 425, level 4, msec 1540977177618, tick 8495700
channel 14, range 42, amp 748, level 5, msec 1540977177619, tick 8460217
channel 13, range 38, amp 424, level 4, msec 1540977177623, tick 8495705
channel 14, range 42, amp 748, level 5, msec 1540977177624, tick 8460222
channel 13, range 41, amp 424, level 4, msec 1540977177627, tick 8495710
channel 14, range 42, amp 746, level 5, msec 1540977177629, tick 8460227
channel 13, range 38, amp 430, level 4, msec 1540977177632, tick 8495714
channel 14, range 42, amp 747, level 5, msec 1540977177634, tick 8460232
channel 13, range 37, amp 428, level 4, msec 1540977177637, tick 8495719
channel 14, range 42, amp 747, level 5, msec 1540977177639, tick 8460237
channel 13, range 39, amp 429, level 4, msec 1540977177642, tick 8495724
channel 14, range 42, amp 748, level 5, msec 1540977177644, tick 8460242
channel 13, range 38, amp 429, level 4, msec 1540977177647, tick 8495729
channel 14, range 41, amp 746, level 5, msec 1540977177649, tick 8460247
channel 13, range 37, amp 429, level 4, msec 1540977177651, tick 8495734
channel 14, range 42, amp 746, level 5, msec 1540977177654, tick 8460252
channel 13, range 39, amp 428, level 4, msec 1540977177656, tick 8495739
channel 14, range 42, amp 747, level 5, msec 1540977177661, tick 8460257
channel 13, range 38, amp 429, level 4, msec 1540977177661, tick 8495743
channel 14, range 42, amp 748, level 5, msec 1540977177663, tick 8460262
channel 13, range 38, amp 429, level 4, msec 1540977177666, tick 8495748
channel 14, range 42, amp 749, level 5, msec 1540977177668, tick 8460267
channel 13, range 39, amp 429, level 4, msec 1540977177671, tick 8495753
channel 14, range 42, amp 747, level 5, msec 1540977177674, tick 8460272
channel 13, range 38, amp 429, level 4, msec 1540977177676, tick 8495758
channel 14, range 42, amp 748, level 5, msec 1540977177678, tick 8460277
channel 13, range 39, amp 424, level 4, msec 1540977177680, tick 8495763
channel 14, range 42, amp 748, level 5, msec 1540977177683, tick 8460282
channel 13, range 38, amp 420, level 4, msec 1540977177685, tick 8495768
channel 14, range 42, amp 746, level 5, msec 1540977177688, tick 8460287
channel 13, range 35, amp 430, level 4, msec 1540977177690, tick 8495772
channel 14, range 42, amp 748, level 5, msec 1540977177693, tick 8460292
channel 13, range 39, amp 425, level 4, msec 1540977177695, tick 8495777
channel 14, range 42, amp 747, level 5, msec 1540977177698, tick 8460296
channel 13, range 39, amp 434, level 4, msec 1540977177700, tick 8495782
channel 14, range 42, amp 747, level 5, msec 1540977177703, tick 8460301
channel 13, range 38, amp 431, level 4, msec 1540977177704, tick 8495787
channel 14, range 42, amp 748, level 5, msec 1540977177708, tick 8460306
channel 13, range 38, amp 432, level 4, msec 1540977177709, tick 8495792
channel 14, range 42, amp 747, level 5, msec 1540977177713, tick 8460311
channel 13, range 39, amp 429, level 4, msec 1540977177714, tick 8495797
channel 14, range 42, amp 749, level 5, msec 1540977177718, tick 8460316
channel 13, range 39, amp 428, level 4, msec 1540977177719, tick 8495801
channel 14, range 42, amp 746, level 5, msec 1540977177723, tick 8460321
channel 13, range 39, amp 429, level 4, msec 1540977177724, tick 8495806
channel 14, range 42, amp 745, level 5, msec 1540977177728, tick 8460326
channel 13, range 38, amp 429, level 4, msec 1540977177728, tick 8495811
channel 14, range 42, amp 745, level 5, msec 1540977177733, tick 8460331
channel 13, range 38, amp 429, level 4, msec 1540977177733, tick 8495816
channel 14, range 42, amp 747, level 5, msec 1540977177738, tick 8460336
channel 13, range 39, amp 429, level 4, msec 1540977177738, tick 8495821
channel 14, range 42, amp 749, level 5, msec 1540977177742, tick 8460341
channel 13, range 37, amp 428, level 4, msec 1540977177743, tick 8495826
channel 14, range 42, amp 748, level 5, msec 1540977177747, tick 8460346
channel 13, range 38, amp 426, level 4, msec 1540977177748, tick 8495830
channel 14, range 42, amp 748, level 5, msec 1540977177752, tick 8460351
channel 13, range 37, amp 421, level 4, msec 1540977177752, tick 8495835
channel 14, range 42, amp 747, level 5, msec 1540977177757, tick 8460356
channel 13, range 38, amp 425, level 4, msec 1540977177757, tick 8495840
channel 13, range 41, amp 425, level 4, msec 1540977177762, tick 8495845
channel 14, range 42, amp 747, level 5, msec 1540977177762, tick 8460361
channel 13, range 37, amp 431, level 4, msec 1540977177767, tick 8495850
channel 14, range 42, amp 748, level 5, msec 1540977177767, tick 8460366
channel 13, range 39, amp 429, level 4, msec 1540977177772, tick 8495855
channel 14, range 42, amp 747, level 5, msec 1540977177772, tick 8460371
channel 13, range 39, amp 431, level 4, msec 1540977177777, tick 8495859
channel 14, range 42, amp 748, level 5, msec 1540977177777, tick 8460376
channel 13, range 39, amp 429, level 4, msec 1540977177782, tick 8495864
channel 14, range 42, amp 747, level 5, msec 1540977177782, tick 8460380
channel 13, range 38, amp 430, level 4, msec 1540977177786, tick 8495869
channel 14, range 42, amp 747, level 5, msec 1540977177787, tick 8460385
channel 13, range 38, amp 429, level 4, msec 1540977177791, tick 8495874
channel 14, range 42, amp 748, level 5, msec 1540977177792, tick 8460390
channel 13, range 38, amp 428, level 4, msec 1540977177796, tick 8495879
channel 14, range 42, amp 748, level 5, msec 1540977177797, tick 8460395
channel 13, range 38, amp 429, level 4, msec 1540977177801, tick 8495884
channel 14, range 42, amp 748, level 5, msec 1540977177802, tick 8460400
channel 13, range 39, amp 429, level 4, msec 1540977177806, tick 8495889
channel 14, range 42, amp 748, level 5, msec 1540977177807, tick 8460405
channel 14, range 41, amp 747, level 5, msec 1540977177812, tick 8460410
channel 13, range 38, amp 429, level 4, msec 1540977177812, tick 8495893
channel 13, range 38, amp 429, level 4, msec 1540977177816, tick 8495898
channel 14, range 42, amp 748, level 5, msec 1540977177817, tick 8460415
channel 13, range 35, amp 427, level 4, msec 1540977177821, tick 8495903
channel 14, range 42, amp 748, level 5, msec 1540977177842, tick 8460420
channel 14, range 42, amp 747, level 5, msec 1540977177842, tick 8460425
channel 14, range 42, amp 748, level 5, msec 1540977177842, tick 8460430
channel 14, range 42, amp 748, level 5, msec 1540977177842, tick 8460435
channel 14, range 42, amp 748, level 5, msec 1540977177842, tick 8460440
channel 13, range 37, amp 426, level 4, msec 1540977177842, tick 8495908
channel 13, range 42, amp 431, level 4, msec 1540977177842, tick 8495913
channel 13, range 39, amp 425, level 4, msec 1540977177842, tick 8495918
channel 13, range 38, amp 427, level 4, msec 1540977177842, tick 8495922
channel 13, range 37, amp 427, level 4, msec 1540977177844, tick 8495927
channel 14, range 42, amp 748, level 5, msec 1540977177846, tick 8460445
channel 13, range 39, amp 430, level 4, msec 1540977177849, tick 8495932
channel 14, range 42, amp 749, level 5, msec 1540977177881, tick 8460450
channel 14, range 42, amp 747, level 5, msec 1540977177881, tick 8460455
channel 14, range 42, amp 748, level 5, msec 1540977177881, tick 8460460
channel 14, range 42, amp 748, level 5, msec 1540977177881, tick 8460464
channel 14, range 42, amp 748, level 5, msec 1540977177881, tick 8460469
channel 14, range 42, amp 748, level 5, msec 1540977177881, tick 8460474
channel 14, range 42, amp 748, level 5, msec 1540977177881, tick 8460479
channel 13, range 38, amp 428, level 4, msec 1540977177881, tick 8495937
channel 13, range 38, amp 428, level 4, msec 1540977177881, tick 8495942
channel 13, range 39, amp 430, level 4, msec 1540977177881, tick 8495947
channel 13, range 38, amp 429, level 4, msec 1540977177881, tick 8495951
channel 13, range 38, amp 429, level 4, msec 1540977177881, tick 8495956
channel 13, range 39, amp 429, level 4, msec 1540977177881, tick 8495961
channel 13, range 39, amp 429, level 4, msec 1540977177883, tick 8495966
channel 14, range 42, amp 746, level 5, msec 1540977177886, tick 8460484
channel 13, range 41, amp 425, level 4, msec 1540977177887, tick 8495971
channel 14, range 42, amp 748, level 5, msec 1540977177891, tick 8460489
channel 13, range 39, amp 426, level 4, msec 1540977177892, tick 8495976
channel 14, range 42, amp 748, level 5, msec 1540977177895, tick 8460494
channel 13, range 42, amp 427, level 4, msec 1540977177897, tick 8495980
channel 14, range 42, amp 747, level 5, msec 1540977177900, tick 8460499
channel 13, range 38, amp 427, level 4, msec 1540977177903, tick 8495985
channel 14, range 42, amp 748, level 5, msec 1540977177905, tick 8460504
channel 13, range 37, amp 427, level 4, msec 1540977177907, tick 8495990
channel 14, range 42, amp 748, level 5, msec 1540977177910, tick 8460509
channel 13, range 39, amp 425, level 4, msec 1540977177911, tick 8495995
channel 14, range 42, amp 748, level 5, msec 1540977177915, tick 8460514
channel 13, range 39, amp 430, level 4, msec 1540977177916, tick 8496000
channel 14, range 42, amp 747, level 5, msec 1540977177920, tick 8460519
channel 14, range 41, amp 748, level 5, msec 1540977177931, tick 8460524
channel 14, range 42, amp 747, level 5, msec 1540977177931, tick 8460529
channel 13, range 39, amp 429, level 4, msec 1540977177931, tick 8496005
channel 13, range 39, amp 429, level 4, msec 1540977177931, tick 8496009
channel 13, range 39, amp 429, level 4, msec 1540977177931, tick 8496014
channel 14, range 42, amp 748, level 5, msec 1540977177935, tick 8460534
channel 13, range 39, amp 429, level 4, msec 1540977177936, tick 8496019
channel 14, range 42, amp 748, level 5, msec 1540977177940, tick 8460539
channel 13, range 38, amp 429, level 4, msec 1540977177940, tick 8496024
channel 14, range 42, amp 747, level 5, msec 1540977177945, tick 8460544
channel 13, range 39, amp 429, level 4, msec 1540977177945, tick 8496029
channel 14, range 42, amp 747, level 5, msec 1540977177950, tick 8460549
channel 13, range 38, amp 429, level 4, msec 1540977177950, tick 8496034
channel 13, range 39, amp 432, level 4, msec 1540977177955, tick 8496038
channel 14, range 42, amp 747, level 5, msec 1540977177955, tick 8460553
channel 13, range 37, amp 429, level 4, msec 1540977177960, tick 8496043
channel 14, range 42, amp 747, level 5, msec 1540977177960, tick 8460558
