channel 2, range 40, amp 745, level 5, msec 1540977506835, tick 95889
channel 3, range 37, amp 755, level 5, msec 1540977506839, tick 95699
channel 3, range 37, amp 756, level 5, msec 1540977506844, tick 95704
channel 2, range 40, amp 746, level 5, msec 1540977506847, tick 95894
channel 2, range 40, amp 745, level 5, msec 1540977506847, tick 95899
channel 3, range 37, amp 754, level 5, msec 1540977506850, tick 95709
channel 2, range 40, amp 746, level 5, msec 1540977506850, tick 95904
channel 3, range 37, amp 755, level 5, msec 1540977506854, tick 95714
channel 2, range 41, amp 745, level 5, msec 1540977506855, tick 95909
channel 3, range 37, amp 755, level 5, msec 1540977506859, tick 95719
channel 2, range 40, amp 745, level 5, msec 1540977506859, tick 95914
channel 3, range 37, amp 755, level 5, msec 1540977506864, tick 95724
channel 2, range 40, amp 744, level 5, msec 1540977506865, tick 95919
channel 3, range 37, amp 756, level 5, msec 1540977506869, tick 95729
channel 2, range 40, amp 745, level 5, msec 1540977506869, tick 95924
channel 3, range 37, amp 756, level 5, msec 1540977506874, tick 95734
channel 2, range 40, amp 745, level 5, msec 1540977506874, tick 95929
channel 3, range 37, amp 756, level 5, msec 1540977506880, tick 95739
channel 2, range 40, amp 745, level 5, msec 1540977506880, tick 95934
channel 3, range 37, amp 756, level 5, msec 1540977506884, tick 95744
channel 2, range 40, amp 746, level 5, msec 1540977506884, tick 95939
channel 3, range 37, amp 754, level 5, msec 1540977506889, tick 95749
channel 2, range 40, amp 745, level 5, msec 1540977506889, tick 95944
channel 3, range 37, amp 755, level 5, msec 1540977506894, tick 95754
channel 2, range 40, amp 745, level 5, msec 1540977506894, tick 95949
channel 3, range 36, amp 755, level 5, msec 1540977506901, tick 95759
channel 2, range 40, amp 745, level 5, msec 1540977506902, tick 95954
channel 3, range 37, amp 756, level 5, msec 1540977506909, tick 95763
channel 2, range 40, amp 745, level 5, msec 1540977506909, tick 95959
channel 2, range 40, amp 745, level 5, msec 1540977506909, tick 95964
channel 3, range 37, amp 755, level 5, msec 1540977506911, tick 95768
channel 2, range 40, amp 745, level 5, msec 1540977506914, tick 95969
channel 3, range 37, amp 755, level 5, msec 1540977506914, tick 95773
channel 3, range 37, amp 754, level 5, msec 1540977506918, tick 95778
