channel 12, range 74, amp 775, level 6, msec 1540978881794, tick 10164580
channel 12, range 74, amp 769, level 6, msec 1540978881794, tick 10164585
channel 12, range 74, amp 775, level 6, msec 1540978881794, tick 10164590
channel 12, range 74, amp 776, level 6, msec 1540978881794, tick 10164595
channel 12, range 77, amp 778, level 6, msec 1540978881794, tick 10164600
channel 12, range 74, amp 775, level 6, msec 1540978881794, tick 10164605
channel 13, range 67, amp 560, level 5, msec 1540978881798, tick 10208474
channel 14, range 75, amp 594, level 5, msec 1540978881798, tick 10165723
channel 12, range 74, amp 766, level 6, msec 1540978881798, tick 10164610
channel 13, range 67, amp 560, level 5, msec 1540978881803, tick 10208479
channel 14, range 75, amp 594, level 5, msec 1540978881803, tick 10165728
channel 12, range 74, amp 775, level 6, msec 1540978881804, tick 10164616
channel 14, range 74, amp 594, level 5, msec 1540978881810, tick 10165733
channel 13, range 67, amp 559, level 5, msec 1540978881810, tick 10208484
channel 12, range 74, amp 775, level 6, msec 1540978881810, tick 10164621
channel 13, range 68, amp 559, level 5, msec 1540978881812, tick 10208489
channel 14, range 75, amp 594, level 5, msec 1540978881813, tick 10165738
channel 12, range 87, amp 766, level 6, msec 1540978881814, tick 10164626
channel 13, range 68, amp 560, level 5, msec 1540978881817, tick 10208493
channel 14, range 74, amp 594, level 5, msec 1540978881818, tick 10165743
channel 14, range 74, amp 594, level 5, msec 1540978881824, tick 10165748
channel 13, range 68, amp 559, level 5, msec 1540978881824, tick 10208498
channel 12, range 74, amp 775, level 6, msec 1540978881824, tick 10164631
channel 12, range 74, amp 775, level 6, msec 1540978881824, tick 10164636
channel 13, range 68, amp 560, level 5, msec 1540978881827, tick 10208503
channel 14, range 75, amp 593, level 5, msec 1540978881827, tick 10165752
channel 12, range 74, amp 775, level 6, msec 1540978881829, tick 10164641
channel 13, range 67, amp 559, level 5, msec 1540978881832, tick 10208508
channel 14, range 74, amp 594, level 5, msec 1540978881832, tick 10165757
channel 12, range 74, amp 776, level 6, msec 1540978881834, tick 10164646
channel 13, range 68, amp 560, level 5, msec 1540978881837, tick 10208513
channel 14, range 76, amp 594, level 5, msec 1540978881837, tick 10165762
channel 12, range 73, amp 779, level 6, msec 1540978881839, tick 10164651
channel 13, range 68, amp 560, level 5, msec 1540978881842, tick 10208518
channel 14, range 74, amp 594, level 5, msec 1540978881842, tick 10165767
channel 12, range 73, amp 774, level 6, msec 1540978881844, tick 10164657
channel 13, range 68, amp 559, level 5, msec 1540978881847, tick 10208523
channel 14, range 75, amp 593, level 5, msec 1540978881847, tick 10165772
channel 12, range 74, amp 775, level 6, msec 1540978881850, tick 10164662
channel 13, range 67, amp 561, level 5, msec 1540978881851, tick 10208528
channel 14, range 74, amp 593, level 5, msec 1540978881852, tick 10165777
channel 12, range 74, amp 776, level 6, msec 1540978881855, tick 10164667
channel 13, range 68, amp 560, level 5, msec 1540978881856, tick 10208533
channel 14, range 75, amp 593, level 5, msec 1540978881857, tick 10165782
channel 12, range 74, amp 775, level 6, msec 1540978881860, tick 10164672
channel 13, range 67, amp 560, level 5, msec 1540978881861, tick 10208538
channel 14, range 74, amp 594, level 5, msec 1540978881862, tick 10165787
channel 12, range 74, amp 776, level 6, msec 1540978881865, tick 10164677
channel 13, range 68, amp 560, level 5, msec 1540978881866, tick 10208543
channel 14, range 75, amp 590, level 5, msec 1540978881867, tick 10165792
channel 12, range 71, amp 756, level 6, msec 1540978881870, tick 10164682
channel 13, range 68, amp 559, level 5, msec 1540978881871, tick 10208548
channel 14, range 76, amp 592, level 5, msec 1540978881872, tick 10165797
channel 12, range 74, amp 775, level 6, msec 1540978881875, tick 10164687
channel 13, range 67, amp 560, level 5, msec 1540978881876, tick 10208553
channel 14, range 75, amp 594, level 5, msec 1540978881877, tick 10165802
channel 12, range 74, amp 776, level 6, msec 1540978881880, tick 10164692
channel 13, range 68, amp 560, level 5, msec 1540978881881, tick 10208558
channel 14, range 75, amp 593, level 5, msec 1540978881882, tick 10165807
channel 13, range 67, amp 560, level 5, msec 1540978881886, tick 10208562
channel 12, range 77, amp 745, level 6, msec 1540978881886, tick 10164698
channel 14, range 74, amp 594, level 5, msec 1540978881887, tick 10165812
channel 13, range 67, amp 560, level 5, msec 1540978881891, tick 10208567
channel 12, range 74, amp 775, level 6, msec 1540978881891, tick 10164703
channel 14, range 75, amp 594, level 5, msec 1540978881891, tick 10165817
channel 13, range 67, amp 561, level 5, msec 1540978881896, tick 10208572
channel 12, range 72, amp 790, level 6, msec 1540978881896, tick 10164708
channel 14, range 74, amp 594, level 5, msec 1540978881896, tick 10165822
channel 13, range 67, amp 560, level 5, msec 1540978881900, tick 10208577
channel 14, range 74, amp 594, level 5, msec 1540978881903, tick 10165826
channel 12, range 71, amp 772, level 6, msec 1540978881903, tick 10164713
channel 13, range 68, amp 560, level 5, msec 1540978881905, tick 10208582
channel 12, range 74, amp 775, level 6, msec 1540978881906, tick 10164718
channel 14, range 75, amp 591, level 5, msec 1540978881906, tick 10165831
channel 14, range 75, amp 590, level 5, msec 1540978881913, tick 10165836
channel 13, range 67, amp 560, level 5, msec 1540978881913, tick 10208587
channel 12, range 77, amp 756, level 6, msec 1540978881913, tick 10164723
channel 13, range 68, amp 560, level 5, msec 1540978881915, tick 10208592
channel 14, range 74, amp 593, level 5, msec 1540978881916, tick 10165841
channel 12, range 74, amp 775, level 6, msec 1540978881916, tick 10164728
channel 13, range 68, amp 559, level 5, msec 1540978881920, tick 10208597
channel 14, range 75, amp 594, level 5, msec 1540978881921, tick 10165846
channel 12, range 74, amp 775, level 6, msec 1540978881921, tick 10164733
channel 14, range 75, amp 592, level 5, msec 1540978881927, tick 10165851
channel 13, range 67, amp 560, level 5, msec 1540978881927, tick 10208602
channel 12, range 72, amp 789, level 6, msec 1540978881927, tick 10164739
channel 14, range 75, amp 593, level 5, msec 1540978881932, tick 10165856
channel 13, range 68, amp 559, level 5, msec 1540978881932, tick 10208607
channel 12, range 74, amp 774, level 6, msec 1540978881932, tick 10164744
