channel 14, range 121, amp 553, level 6, msec 1540979989607, tick 11274484
channel 15, range 134, amp 544, level 8, msec 1540979989607, tick 11309451
channel 14, range 122, amp 552, level 6, msec 1540979989613, tick 11274489
channel 13, range 124, amp 682, level 8, msec 1540979989613, tick 11321907
channel 15, range 133, amp 544, level 8, msec 1540979989614, tick 11309458
channel 13, range 124, amp 682, level 8, msec 1540979989616, tick 11321913
channel 14, range 121, amp 553, level 6, msec 1540979989617, tick 11274494
channel 15, range 133, amp 545, level 8, msec 1540979989620, tick 11309464
channel 14, range 122, amp 550, level 6, msec 1540979989622, tick 11274499
channel 13, range 124, amp 683, level 8, msec 1540979989623, tick 11321920
channel 15, range 133, amp 545, level 8, msec 1540979989626, tick 11309470
channel 14, range 122, amp 551, level 6, msec 1540979989627, tick 11274504
channel 13, range 124, amp 683, level 8, msec 1540979989629, tick 11321926
channel 15, range 133, amp 546, level 8, msec 1540979989633, tick 11309477
channel 14, range 122, amp 553, level 6, msec 1540979989633, tick 11274509
channel 13, range 124, amp 683, level 8, msec 1540979989636, tick 11321933
channel 14, range 121, amp 553, level 6, msec 1540979989638, tick 11274514
channel 15, range 133, amp 546, level 8, msec 1540979989639, tick 11309483
channel 13, range 124, amp 682, level 8, msec 1540979989642, tick 11321939
channel 14, range 121, amp 553, level 6, msec 1540979989643, tick 11274520
channel 15, range 133, amp 545, level 8, msec 1540979989645, tick 11309490
channel 14, range 121, amp 552, level 6, msec 1540979989648, tick 11274525
channel 13, range 124, amp 682, level 8, msec 1540979989648, tick 11321945
channel 15, range 133, amp 545, level 8, msec 1540979989652, tick 11309496
channel 14, range 121, amp 551, level 6, msec 1540979989653, tick 11274530
channel 13, range 124, amp 683, level 8, msec 1540979989654, tick 11321952
channel 15, range 133, amp 545, level 8, msec 1540979989658, tick 11309502
channel 14, range 121, amp 551, level 6, msec 1540979989658, tick 11274535
channel 13, range 126, amp 682, level 8, msec 1540979989661, tick 11321958
channel 14, range 121, amp 552, level 6, msec 1540979989663, tick 11274540
channel 15, range 134, amp 545, level 8, msec 1540979989664, tick 11309509
channel 13, range 124, amp 683, level 8, msec 1540979989667, tick 11321965
channel 14, range 121, amp 553, level 6, msec 1540979989668, tick 11274545
channel 15, range 133, amp 545, level 8, msec 1540979989671, tick 11309515
channel 14, range 121, amp 553, level 6, msec 1540979989674, tick 11274550
channel 13, range 124, amp 682, level 8, msec 1540979989674, tick 11321971
channel 15, range 133, amp 545, level 8, msec 1540979989677, tick 11309521
channel 14, range 121, amp 551, level 6, msec 1540979989679, tick 11274556
channel 13, range 124, amp 684, level 8, msec 1540979989680, tick 11321977
channel 15, range 133, amp 545, level 8, msec 1540979989683, tick 11309528
channel 14, range 121, amp 549, level 6, msec 1540979989684, tick 11274561
channel 13, range 124, amp 682, level 8, msec 1540979989686, tick 11321984
channel 14, range 122, amp 553, level 6, msec 1540979989689, tick 11274566
channel 15, range 133, amp 545, level 8, msec 1540979989690, tick 11309534
channel 13, range 124, amp 683, level 8, msec 1540979989693, tick 11321990
channel 14, range 121, amp 553, level 6, msec 1540979989694, tick 11274571
channel 15, range 133, amp 544, level 8, msec 1540979989696, tick 11309540
channel 13, range 124, amp 682, level 8, msec 1540979989699, tick 11321996
channel 14, range 121, amp 552, level 6, msec 1540979989699, tick 11274576
channel 15, range 133, amp 545, level 8, msec 1540979989702, tick 11309547
channel 14, range 121, amp 553, level 6, msec 1540979989704, tick 11274581
channel 13, range 124, amp 684, level 8, msec 1540979989705, tick 11322003
channel 15, range 133, amp 545, level 8, msec 1540979989709, tick 11309553
channel 14, range 122, amp 550, level 6, msec 1540979989710, tick 11274586
channel 13, range 124, amp 683, level 8, msec 1540979989712, tick 11322009
channel 15, range 134, amp 546, level 8, msec 1540979989715, tick 11309559
channel 14, range 122, amp 550, level 6, msec 1540979989715, tick 11274592
channel 13, range 124, amp 683, level 8, msec 1540979989718, tick 11322015
channel 14, range 122, amp 551, level 6, msec 1540979989720, tick 11274597
channel 15, range 133, amp 546, level 8, msec 1540979989721, tick 11309566
channel 13, range 124, amp 683, level 8, msec 1540979989724, tick 11322022
channel 14, range 121, amp 553, level 6, msec 1540979989725, tick 11274602
channel 15, range 134, amp 545, level 8, msec 1540979989727, tick 11309572
channel 14, range 121, amp 553, level 6, msec 1540979989730, tick 11274607
channel 13, range 124, amp 681, level 8, msec 1540979989731, tick 11322028
channel 15, range 133, amp 545, level 8, msec 1540979989734, tick 11309578
channel 14, range 122, amp 554, level 6, msec 1540979989735, tick 11274612
channel 13, range 124, amp 683, level 8, msec 1540979989737, tick 11322035
channel 15, range 133, amp 545, level 8, msec 1540979989740, tick 11309585
channel 14, range 122, amp 551, level 6, msec 1540979989740, tick 11274617
channel 13, range 124, amp 683, level 8, msec 1540979989745, tick 11322041
channel 14, range 122, amp 549, level 6, msec 1540979989746, tick 11274622
channel 15, range 133, amp 545, level 8, msec 1540979989747, tick 11309591
channel 14, range 121, amp 552, level 6, msec 1540979989751, tick 11274628
channel 13, range 124, amp 683, level 8, msec 1540979989751, tick 11322047
channel 15, range 133, amp 545, level 8, msec 1540979989753, tick 11309597
channel 14, range 121, amp 552, level 6, msec 1540979989756, tick 11274633
channel 13, range 124, amp 683, level 8, msec 1540979989756, tick 11322054
channel 15, range 133, amp 545, level 8, msec 1540979989760, tick 11309604
channel 14, range 121, amp 552, level 6, msec 1540979989761, tick 11274638
channel 13, range 124, amp 683, level 8, msec 1540979989762, tick 11322060
channel 15, range 133, amp 545, level 8, msec 1540979989766, tick 11309610
channel 14, range 121, amp 552, level 6, msec 1540979989766, tick 11274643
channel 13, range 124, amp 683, level 8, msec 1540979989769, tick 11322066
