channel 6, range 124, amp 743, level 7, msec 1540979550765, tick 578365
channel 5, range 120, amp 510, level 7, msec 1540979550765, tick 575915
channel 6, range 126, amp 741, level 7, msec 1540979550768, tick 578370
channel 5, range 120, amp 511, level 7, msec 1540979550769, tick 575921
channel 6, range 124, amp 742, level 7, msec 1540979550774, tick 578376
channel 5, range 121, amp 511, level 7, msec 1540979550776, tick 575926
channel 6, range 125, amp 741, level 7, msec 1540979550780, tick 578381
channel 5, range 120, amp 511, level 7, msec 1540979550782, tick 575932
channel 6, range 124, amp 743, level 7, msec 1540979550786, tick 578387
channel 6, range 125, amp 744, level 7, msec 1540979550831, tick 578392
channel 6, range 124, amp 742, level 7, msec 1540979550831, tick 578398
channel 6, range 125, amp 743, level 7, msec 1540979550831, tick 578403
channel 6, range 126, amp 743, level 7, msec 1540979550831, tick 578409
channel 6, range 125, amp 743, level 7, msec 1540979550831, tick 578414
channel 6, range 125, amp 742, level 7, msec 1540979550831, tick 578420
channel 6, range 125, amp 743, level 7, msec 1540979550831, tick 578426
channel 6, range 125, amp 743, level 7, msec 1540979550831, tick 578431
channel 5, range 121, amp 511, level 7, msec 1540979550831, tick 575937
channel 5, range 120, amp 511, level 7, msec 1540979550831, tick 575943
channel 5, range 120, amp 509, level 7, msec 1540979550831, tick 575949
channel 5, range 120, amp 510, level 7, msec 1540979550831, tick 575954
channel 5, range 120, amp 510, level 7, msec 1540979550831, tick 575960
channel 5, range 121, amp 509, level 7, msec 1540979550831, tick 575965
channel 5, range 120, amp 511, level 7, msec 1540979550831, tick 575971
channel 5, range 120, amp 511, level 7, msec 1540979550831, tick 575976
channel 5, range 120, amp 510, level 7, msec 1540979550831, tick 575982
channel 6, range 125, amp 743, level 7, msec 1540979550835, tick 578437
channel 5, range 120, amp 508, level 7, msec 1540979550836, tick 575987
channel 6, range 124, amp 744, level 7, msec 1540979550844, tick 578442
channel 5, range 120, amp 509, level 7, msec 1540979550844, tick 575993
channel 6, range 125, amp 744, level 7, msec 1540979550866, tick 578448
channel 6, range 125, amp 739, level 7, msec 1540979550866, tick 578453
channel 6, range 125, amp 743, level 7, msec 1540979550866, tick 578459
channel 6, range 125, amp 741, level 7, msec 1540979550866, tick 578464
channel 5, range 121, amp 510, level 7, msec 1540979550866, tick 575998
channel 5, range 120, amp 510, level 7, msec 1540979550866, tick 576004
channel 5, range 120, amp 510, level 7, msec 1540979550866, tick 576010
channel 5, range 121, amp 510, level 7, msec 1540979550866, tick 576015
channel 6, range 125, amp 743, level 7, msec 1540979550868, tick 578470
channel 5, range 120, amp 510, level 7, msec 1540979550870, tick 576021
channel 6, range 125, amp 744, level 7, msec 1540979550876, tick 578475
channel 5, range 120, amp 510, level 7, msec 1540979550876, tick 576026
channel 6, range 125, amp 744, level 7, msec 1540979550897, tick 578481
channel 6, range 125, amp 744, level 7, msec 1540979550898, tick 578487
channel 6, range 124, amp 743, level 7, msec 1540979550898, tick 578492
channel 6, range 125, amp 744, level 7, msec 1540979550898, tick 578498
channel 5, range 120, amp 511, level 7, msec 1540979550898, tick 576032
channel 5, range 121, amp 511, level 7, msec 1540979550898, tick 576037
channel 5, range 120, amp 510, level 7, msec 1540979550898, tick 576043
channel 5, range 121, amp 508, level 7, msec 1540979550898, tick 576048
channel 6, range 125, amp 742, level 7, msec 1540979550902, tick 578503
channel 5, range 120, amp 510, level 7, msec 1540979550903, tick 576054
channel 6, range 125, amp 744, level 7, msec 1540979550907, tick 578509
channel 5, range 120, amp 510, level 7, msec 1540979550909, tick 576059
channel 6, range 124, amp 744, level 7, msec 1540979550912, tick 578514
channel 5, range 120, amp 510, level 7, msec 1540979550914, tick 576065
channel 6, range 125, amp 744, level 7, msec 1540979550918, tick 578520
channel 5, range 121, amp 511, level 7, msec 1540979550920, tick 576071
channel 6, range 124, amp 746, level 7, msec 1540979550923, tick 578525
