channel 7, range 70, amp 450, level 5, msec 1540978529283, tick 124253
channel 7, range 68, amp 449, level 5, msec 1540978529283, tick 124258
channel 7, range 68, amp 449, level 5, msec 1540978529283, tick 124263
channel 7, range 68, amp 448, level 5, msec 1540978529283, tick 124268
channel 7, range 70, amp 446, level 5, msec 1540978529283, tick 124273
channel 6, range 66, amp 549, level 5, msec 1540978529283, tick 123976
channel 6, range 66, amp 550, level 5, msec 1540978529283, tick 123981
channel 6, range 66, amp 549, level 5, msec 1540978529283, tick 123986
channel 6, range 66, amp 549, level 5, msec 1540978529283, tick 123990
channel 6, range 66, amp 548, level 5, msec 1540978529283, tick 123995
channel 6, range 66, amp 549, level 5, msec 1540978529283, tick 124000
channel 5, range 67, amp 409, level 5, msec 1540978529283, tick 123497
channel 5, range 67, amp 409, level 5, msec 1540978529283, tick 123502
channel 5, range 68, amp 410, level 5, msec 1540978529283, tick 123507
channel 5, range 68, amp 409, level 5, msec 1540978529283, tick 123512
channel 5, range 68, amp 408, level 5, msec 1540978529283, tick 123517
channel 7, range 68, amp 448, level 5, msec 1540978529283, tick 124278
channel 5, range 67, amp 409, level 5, msec 1540978529285, tick 123522
channel 6, range 66, amp 549, level 5, msec 1540978529285, tick 124005
channel 7, range 68, amp 448, level 5, msec 1540978529288, tick 124283
channel 5, range 68, amp 409, level 5, msec 1540978529290, tick 123527
channel 6, range 66, amp 548, level 5, msec 1540978529292, tick 124010
channel 7, range 68, amp 449, level 5, msec 1540978529295, tick 124287
channel 5, range 68, amp 409, level 5, msec 1540978529295, tick 123532
channel 6, range 66, amp 549, level 5, msec 1540978529295, tick 124015
channel 7, range 68, amp 447, level 5, msec 1540978529298, tick 124292
channel 6, range 66, amp 549, level 5, msec 1540978529300, tick 124020
channel 5, range 68, amp 408, level 5, msec 1540978529300, tick 123537
channel 7, range 68, amp 449, level 5, msec 1540978529305, tick 124297
channel 6, range 66, amp 550, level 5, msec 1540978529305, tick 124025
channel 5, range 68, amp 408, level 5, msec 1540978529305, tick 123542
channel 7, range 68, amp 449, level 5, msec 1540978529308, tick 124302
channel 6, range 66, amp 549, level 5, msec 1540978529310, tick 124030
channel 5, range 67, amp 410, level 5, msec 1540978529310, tick 123546
channel 7, range 68, amp 449, level 5, msec 1540978529312, tick 124307
channel 6, range 66, amp 549, level 5, msec 1540978529316, tick 124035
channel 5, range 67, amp 410, level 5, msec 1540978529316, tick 123551
channel 7, range 68, amp 446, level 5, msec 1540978529318, tick 124312
channel 5, range 68, amp 408, level 5, msec 1540978529319, tick 123556
channel 6, range 66, amp 549, level 5, msec 1540978529320, tick 124040
channel 7, range 68, amp 448, level 5, msec 1540978529322, tick 124317
channel 6, range 66, amp 549, level 5, msec 1540978529326, tick 124045
channel 5, range 68, amp 409, level 5, msec 1540978529326, tick 123561
channel 7, range 68, amp 449, level 5, msec 1540978529327, tick 124322
channel 5, range 68, amp 408, level 5, msec 1540978529329, tick 123566
channel 6, range 66, amp 549, level 5, msec 1540978529330, tick 124049
channel 7, range 68, amp 449, level 5, msec 1540978529332, tick 124327
channel 5, range 68, amp 409, level 5, msec 1540978529334, tick 123571
channel 6, range 66, amp 549, level 5, msec 1540978529334, tick 124054
channel 7, range 68, amp 449, level 5, msec 1540978529337, tick 124332
channel 5, range 68, amp 408, level 5, msec 1540978529339, tick 123576
channel 6, range 66, amp 548, level 5, msec 1540978529339, tick 124059
channel 7, range 67, amp 449, level 5, msec 1540978529342, tick 124337
channel 5, range 68, amp 409, level 5, msec 1540978529344, tick 123581
channel 6, range 66, amp 549, level 5, msec 1540978529344, tick 124064
channel 7, range 68, amp 448, level 5, msec 1540978529348, tick 124342
channel 5, range 67, amp 409, level 5, msec 1540978529349, tick 123586
channel 6, range 66, amp 549, level 5, msec 1540978529349, tick 124069
channel 7, range 68, amp 449, level 5, msec 1540978529352, tick 124347
channel 5, range 67, amp 409, level 5, msec 1540978529354, tick 123591
channel 6, range 66, amp 549, level 5, msec 1540978529354, tick 124074
channel 7, range 68, amp 446, level 5, msec 1540978529357, tick 124352
channel 5, range 68, amp 409, level 5, msec 1540978529359, tick 123596
channel 6, range 66, amp 549, level 5, msec 1540978529359, tick 124079
channel 7, range 67, amp 449, level 5, msec 1540978529364, tick 124356
channel 6, range 66, amp 549, level 5, msec 1540978529364, tick 124084
channel 5, range 67, amp 409, level 5, msec 1540978529364, tick 123601
channel 7, range 68, amp 448, level 5, msec 1540978529367, tick 124361
channel 5, range 68, amp 409, level 5, msec 1540978529368, tick 123605
channel 6, range 66, amp 548, level 5, msec 1540978529369, tick 124089
channel 7, range 68, amp 449, level 5, msec 1540978529371, tick 124366
channel 5, range 67, amp 409, level 5, msec 1540978529373, tick 123610
channel 6, range 66, amp 549, level 5, msec 1540978529374, tick 124094
channel 7, range 68, amp 448, level 5, msec 1540978529376, tick 124371
channel 5, range 67, amp 409, level 5, msec 1540978529378, tick 123615
channel 6, range 66, amp 548, level 5, msec 1540978529378, tick 124099
channel 7, range 70, amp 449, level 5, msec 1540978529381, tick 124376
channel 5, range 67, amp 409, level 5, msec 1540978529383, tick 123620
channel 6, range 66, amp 549, level 5, msec 1540978529384, tick 124104
channel 7, range 68, amp 449, level 5, msec 1540978529386, tick 124381
channel 6, range 66, amp 550, level 5, msec 1540978529389, tick 124108
channel 5, range 68, amp 409, level 5, msec 1540978529389, tick 123625
channel 7, range 68, amp 448, level 5, msec 1540978529392, tick 124386
channel 5, range 67, amp 409, level 5, msec 1540978529393, tick 123630
channel 6, range 66, amp 549, level 5, msec 1540978529393, tick 124113
channel 7, range 68, amp 449, level 5, msec 1540978529396, tick 124391
channel 5, range 67, amp 408, level 5, msec 1540978529398, tick 123635
channel 6, range 66, amp 548, level 5, msec 1540978529398, tick 124118
channel 7, range 70, amp 445, level 5, msec 1540978529401, tick 124396
channel 6, range 66, amp 549, level 5, msec 1540978529403, tick 124123
channel 5, range 67, amp 408, level 5, msec 1540978529403, tick 123640
channel 7, range 68, amp 448, level 5, msec 1540978529406, tick 124401
channel 5, range 68, amp 409, level 5, msec 1540978529408, tick 123645
channel 6, range 66, amp 550, level 5, msec 1540978529408, tick 124128
channel 7, range 68, amp 447, level 5, msec 1540978529411, tick 124406
