channel 4, range 146, amp 633, level 7, msec 1540980529610, tick 1562687
channel 3, range 141, amp 575, level 8, msec 1540980529611, tick 1557418
channel 4, range 146, amp 631, level 7, msec 1540980529616, tick 1562693
channel 3, range 142, amp 574, level 8, msec 1540980529617, tick 1557424
channel 4, range 146, amp 632, level 7, msec 1540980529623, tick 1562698
channel 3, range 141, amp 578, level 8, msec 1540980529623, tick 1557431
channel 4, range 146, amp 633, level 7, msec 1540980529631, tick 1562704
channel 3, range 143, amp 575, level 8, msec 1540980529631, tick 1557437
channel 4, range 146, amp 633, level 7, msec 1540980529634, tick 1562710
channel 3, range 144, amp 574, level 8, msec 1540980529636, tick 1557443
channel 4, range 146, amp 632, level 7, msec 1540980529638, tick 1562715
channel 4, range 146, amp 632, level 7, msec 1540980529643, tick 1562721
channel 3, range 143, amp 575, level 8, msec 1540980529643, tick 1557450
channel 4, range 146, amp 633, level 7, msec 1540980529649, tick 1562726
channel 3, range 142, amp 569, level 8, msec 1540980529649, tick 1557456
channel 4, range 146, amp 631, level 7, msec 1540980529655, tick 1562732
channel 3, range 144, amp 577, level 8, msec 1540980529655, tick 1557462
channel 4, range 146, amp 632, level 7, msec 1540980529660, tick 1562737
channel 3, range 142, amp 576, level 8, msec 1540980529662, tick 1557469
channel 4, range 146, amp 632, level 7, msec 1540980529666, tick 1562743
channel 3, range 143, amp 572, level 8, msec 1540980529668, tick 1557475
channel 4, range 145, amp 633, level 7, msec 1540980529671, tick 1562748
channel 3, range 142, amp 575, level 8, msec 1540980529674, tick 1557482
channel 4, range 146, amp 633, level 7, msec 1540980529678, tick 1562754
channel 3, range 143, amp 570, level 8, msec 1540980529680, tick 1557488
channel 4, range 146, amp 633, level 7, msec 1540980529682, tick 1562759
channel 3, range 142, amp 576, level 8, msec 1540980529687, tick 1557494
channel 4, range 145, amp 631, level 7, msec 1540980529687, tick 1562765
channel 4, range 146, amp 632, level 7, msec 1540980529693, tick 1562771
channel 3, range 142, amp 571, level 8, msec 1540980529693, tick 1557501
channel 4, range 146, amp 630, level 7, msec 1540980529698, tick 1562776
