channel 9, range 145, amp 634, level 8, msec 1540981195495, tick 12517225
channel 8, range 143, amp 672, level 7, msec 1540981195491, tick 2226846
channel 8, range 141, amp 671, level 7, msec 1540981195497, tick 2226852
channel 9, range 143, amp 635, level 8, msec 1540981195501, tick 12517232
channel 9, range 143, amp 634, level 8, msec 1540981195508, tick 12517238
channel 9, range 143, amp 636, level 8, msec 1540981195514, tick 12517244
channel 8, range 141, amp 676, level 7, msec 1540981195517, tick 2226857
channel 8, range 146, amp 677, level 7, msec 1540981195517, tick 2226863
channel 8, range 143, amp 674, level 7, msec 1540981195517, tick 2226868
channel 8, range 143, amp 674, level 7, msec 1540981195518, tick 2226874
channel 9, range 144, amp 631, level 8, msec 1540981195520, tick 12517251
channel 9, range 143, amp 637, level 8, msec 1540981195527, tick 12517257
channel 9, range 145, amp 630, level 8, msec 1540981195533, tick 12517264
channel 8, range 141, amp 673, level 7, msec 1540981195546, tick 2226880
channel 8, range 141, amp 678, level 7, msec 1540981195546, tick 2226885
channel 9, range 143, amp 635, level 8, msec 1540981195539, tick 12517270
channel 9, range 144, amp 634, level 8, msec 1540981195545, tick 12517276
channel 8, range 141, amp 673, level 7, msec 1540981195546, tick 2226891
channel 8, range 141, amp 657, level 7, msec 1540981195546, tick 2226896
channel 8, range 141, amp 674, level 7, msec 1540981195546, tick 2226902
channel 9, range 144, amp 633, level 8, msec 1540981195555, tick 12517283
channel 8, range 143, amp 667, level 7, msec 1540981195555, tick 2226907
channel 8, range 143, amp 674, level 7, msec 1540981195557, tick 2226913
channel 8, range 141, amp 664, level 7, msec 1540981195564, tick 2226918
channel 9, range 144, amp 634, level 8, msec 1540981195558, tick 12517289
channel 9, range 142, amp 632, level 8, msec 1540981195565, tick 12517296
channel 8, range 143, amp 673, level 7, msec 1540981195568, tick 2226924
channel 9, range 144, amp 633, level 8, msec 1540981195571, tick 12517302
channel 9, range 144, amp 634, level 8, msec 1540981195577, tick 12517308
channel 8, range 146, amp 671, level 7, msec 1540981195575, tick 2226930
channel 8, range 143, amp 674, level 7, msec 1540981195581, tick 2226935
channel 8, range 145, amp 662, level 7, msec 1540981195585, tick 2226941
channel 9, range 144, amp 635, level 8, msec 1540981195584, tick 12517315
channel 8, range 143, amp 674, level 7, msec 1540981195590, tick 2226946
channel 9, range 144, amp 632, level 8, msec 1540981195590, tick 12517321
channel 9, range 144, amp 634, level 8, msec 1540981195597, tick 12517327
channel 8, range 141, amp 671, level 7, msec 1540981195597, tick 2226952
channel 8, range 143, amp 674, level 7, msec 1540981195601, tick 2226957
channel 9, range 144, amp 632, level 8, msec 1540981195603, tick 12517334
channel 9, range 144, amp 633, level 8, msec 1540981195609, tick 12517340
channel 8, range 141, amp 662, level 7, msec 1540981195607, tick 2226963
channel 8, range 143, amp 676, level 7, msec 1540981195614, tick 2226968
channel 9, range 144, amp 632, level 8, msec 1540981195616, tick 12517347
channel 8, range 141, amp 660, level 7, msec 1540981195622, tick 2226974
channel 8, range 141, amp 674, level 7, msec 1540981195624, tick 2226980
channel 9, range 143, amp 633, level 8, msec 1540981195622, tick 12517353
channel 9, range 144, amp 634, level 8, msec 1540981195628, tick 12517359
channel 8, range 144, amp 667, level 7, msec 1540981195630, tick 2226985
channel 8, range 141, amp 672, level 7, msec 1540981195636, tick 2226991
channel 9, range 143, amp 633, level 8, msec 1540981195635, tick 12517366
channel 8, range 141, amp 678, level 7, msec 1540981195644, tick 2226996
channel 8, range 144, amp 676, level 7, msec 1540981195648, tick 2227002
channel 9, range 144, amp 634, level 8, msec 1540981195641, tick 12517372
channel 9, range 145, amp 631, level 8, msec 1540981195647, tick 12517378
channel 8, range 141, amp 674, level 7, msec 1540981195652, tick 2227007
channel 8, range 139, amp 671, level 7, msec 1540981195657, tick 2227013
channel 9, range 144, amp 635, level 8, msec 1540981195653, tick 12517385
channel 9, range 144, amp 634, level 8, msec 1540981195660, tick 12517391
