num, id,      sn,       name,	   cpuUsage,	   diskUsage,	   memoryUsage,	   tofReboot, GW02Reboot, ForwardReboot(N/A), skuPreReboot(N/A),	   rebootTimes,	   skuTimes,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m),   tofConflictNum,      index
001,  1, b827ebb59c45, GWFL-001,        0,        0,        0,        1,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
002,  8, 5410ec33da94, GWSL-008,       29,        0,        0,        1,        0,           0,              1,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
003,  9, 5410ec33bedc, GWSL-009,       21,        0,        0,        1,        0,           0,              1,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
004, 10, d88039a34a13, GWSL-010,       26,        0,        0,        1,        0,           0,              2,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
005, 11, 5410ec339f1c, GWSL-011,       41,        0,        0,        1,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
006, 13, 5410ec33f2e7, GWSL-013,       27,        0,        0,        1,        0,           0,              0,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
007, 15, 5410ec339c23, GWSL-015,       32,        0,        0,        1,        0,           0,              1,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
008, 16, d88039a37313, GWSL-016,       28,        0,        0,        1,        0,           0,              2,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
009, 18, 5410ec3366f9, GWSL-018,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
010, 19, 5410ec33c0b7, GWSL-019,       24,        0,        0,        1,        0,           0,              2,        0,        0,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0,       0,                N/A
011, 20, 5410ec33daea, GWSL-020,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
012, 21, 5410ec336a71, GWSL-021,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552,       0,                N/A
