num, id,      sn,       name,	   cpuUsage,	   diskUsage,	   memoryUsage,	   tofReboot, GW02Reboot, ForwardReboot(N/A), skuPreReboot(N/A),	   rebootTimes,	   skuTimes,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m),   tofConflictNum,      index
034, 33, 230183330040, CDSC-033,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
035, 36, 230183310012, CDSC-036,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
036, 35, 230183310010, CDSC-035,        0,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0,0,                N/A
037, 37, 230183330057, CDSC-037,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
038, 38, 5410ec33d625, GWSL-038,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
039, 39, 5410ec33a33e, GWSL-039,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
040, 40, 5410ec338352, GWSL-040,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
041, 41, 5410ec3366f9, GWSL-041,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
042, 42, 230184340002, CDSC-042,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
num, id,      sn,       name,	   cpuUsage,	   diskUsage,	   memoryUsage,	   tofReboot, GW02Reboot, ForwardReboot(N/A), skuPreReboot(N/A),	   rebootTimes,	   skuTimes,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m),   tofConflictNum,      index
001,  1, b827eb53e5aa, GWFL-001,        0,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0,0,"1,2,3,4"
